label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2	fold
ecDNA	0.5372804999351501	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	CFPAC1
chromothripsis	0.6788346171379089	0.67	representative	none	2	6	4	3	0.5	0.75	0.6	0.5357142857142857	CFPAC1
BFB	0.3672369122505188	1.0	representative	none	2	9	8	6	0.6666666666666666	0.75	0.7058823529411765	0.6818181818181819	CFPAC1
seismic_amplification	0.7968261241912842	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	CFPAC1
ecDNA	0.6241904497146606	0.67	representative	none	1	5	2	2	0.4	1.0	0.5714285714285715	0.4545454545454545	CaSki
chromothripsis	0.4987888634204864	0.67	representative	none	1	6	4	2	0.3333333333333333	0.5	0.4	0.3571428571428571	CaSki
BFB	0.6257407069206238	1.0	envelope	none	4	10	14	8	0.8	0.5714285714285714	0.6666666666666666	0.7407407407407408	CaSki
seismic_amplification	0.8238127827644348	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	CaSki
ecDNA	0.5812303423881531	0.67	representative	none	1	5	2	2	0.4	1.0	0.5714285714285715	0.4545454545454545	DOTC2
chromothripsis	0.6560230851173401	0.67	representative	none	2	6	5	2	0.3333333333333333	0.4	0.3636363636363636	0.3448275862068965	DOTC2
BFB	0.5662417411804199	1.0	envelope	none	8	10	14	8	0.8	0.5714285714285714	0.6666666666666666	0.7407407407407408	DOTC2
seismic_amplification	0.8853342533111572	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	DOTC2
ecDNA	0.4986198246479034	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	H1395
chromothripsis	0.6657198071479797	0.67	representative	none	4	7	7	3	0.4285714285714285	0.4285714285714285	0.4285714285714285	0.4285714285714285	H1395
BFB	0.3474612236022949	1.0	representative	none	2	10	8	7	0.7	0.875	0.7777777777777777	0.7291666666666666	H1395
seismic_amplification	0.7421198487281799	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	H1395
ecDNA	0.5056722164154053	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769	H2009
chromothripsis	0.5672448873519897	0.67	representative	none	2	6	5	2	0.3333333333333333	0.4	0.3636363636363636	0.3448275862068965	H2009
BFB	0.2622371912002563	0.67	representative	none	2	9	8	6	0.6666666666666666	0.75	0.7058823529411765	0.6818181818181819	H2009
seismic_amplification	0.7579466700553894	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	H2009
ecDNA	0.6155489087104797	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783	HCC1937
chromothripsis	0.6272216439247131	0.67	representative	none	2	5	3	2	0.4	0.6666666666666666	0.5	0.4347826086956521	HCC1937
