epoch	train_loss	train_positive	train_negative	train_bag	train_quality
1	2.018907070159912	0.6935930252075195	0.8104448318481445	0.6385087370872498	0.10282203555107117
2	1.8281418085098267	0.579452395439148	0.8330403566360474	0.5167328715324402	0.080283984541893
3	1.7497076988220215	0.5200595855712891	0.8638033270835876	0.45554330945014954	0.069106325507164
4	1.6868512630462646	0.47798141837120056	0.8859837055206299	0.40203821659088135	0.06102122366428375
5	1.6616734266281128	0.4597127437591553	0.8980521559715271	0.37793365120887756	0.05845209211111069
6	1.6338372230529785	0.4434010982513428	0.9023847579956055	0.3578331768512726	0.0562184639275074
7	1.596807837486267	0.4201517701148987	0.9095678329467773	0.33133554458618164	0.05310465767979622
8	1.5753893852233887	0.414303719997406	0.8990203738212585	0.32591336965560913	0.05037211999297142
9	1.579534649848938	0.41474103927612305	0.8973191380500793	0.3327101469039917	0.05126282200217247
10	1.5476973056793213	0.3897063136100769	0.8977029323577881	0.3246135115623474	0.048079606145620346
11	1.520023226737976	0.3822416663169861	0.890265941619873	0.30860576033592224	0.04588926210999489
12	1.4810951948165894	0.36713841557502747	0.8854011297225952	0.284098356962204	0.04423404857516289
13	1.4839098453521729	0.36575230956077576	0.8813930749893188	0.29506173729896545	0.04419468343257904
14	1.462518572807312	0.36381539702415466	0.8705976009368896	0.28388628363609314	0.04340231418609619
15	1.4292192459106445	0.3404606580734253	0.8716755509376526	0.27080297470092773	0.03994499519467354
16	1.4128739833831787	0.3351529538631439	0.8685344457626343	0.26008307933807373	0.04035493731498718
17	1.403266429901123	0.33080893754959106	0.863600492477417	0.2600131630897522	0.03956349566578865
18	1.3755711317062378	0.3161325454711914	0.8628720045089722	0.24528686702251434	0.03600417077541351
19	1.3497177362442017	0.3027699291706085	0.8618825674057007	0.22989130020141602	0.03613379970192909
20	1.345926284790039	0.30017971992492676	0.8521186113357544	0.24123896658420563	0.03628208488225937
21	1.3219757080078125	0.2956255376338959	0.8488614559173584	0.2203725427389145	0.034883782267570496
22	1.3119696378707886	0.2901418209075928	0.8423774242401123	0.22311022877693176	0.03462213650345802
23	1.2821810245513916	0.27328604459762573	0.8380255699157715	0.21261215209960938	0.03260057792067528
24	1.2538175582885742	0.2582252323627472	0.8346630334854126	0.20054170489311218	0.03006584569811821
25	1.2703708410263062	0.2729805111885071	0.825721025466919	0.2141367644071579	0.03161954507231712
26	1.21568763256073	0.2481289505958557	0.8182812333106995	0.18533101677894592	0.029368985444307327
27	1.2298822402954102	0.25442275404930115	0.8160413503646851	0.19790810346603394	0.03139142692089081
28	1.20210599899292	0.2509602904319763	0.8005008697509766	0.1864558458328247	0.030865436419844627
29	1.187258005142212	0.2404767870903015	0.7978854775428772	0.184905007481575	0.02919131889939308
30	1.1561775207519531	0.2278480976819992	0.7912082672119141	0.16995781660079956	0.027579518035054207
31	1.1485662460327148	0.23204217851161957	0.7798285484313965	0.16888082027435303	0.02867116779088974
32	1.1279352903366089	0.2252977192401886	0.7769409418106079	0.154972642660141	0.027048930525779724
33	1.104522705078125	0.2115207016468048	0.7706874012947083	0.15006785094738007	0.027896322309970856
34	1.0838943719863892	0.21307767927646637	0.7575775384902954	0.13878130912780762	0.026152223348617554
