test_sample	split	n_samples	n_events	ecDNA	chromothripsis	BFB	seismic_amplification
HCC1954	train	43	78	8	29	33	8
HCC1954	validation	4	25	5	6	9	5
HCC1954	test	1	5	0	1	0	4
