split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	80	231	76	0.95	0.95	0.329004329004329	0.4887459807073955	0.6896551724137931	SCC152
validation	27	42	21	0.8148148148148148	0.7777777777777778	0.5	0.6086956521739131	0.7000000000000001	SCC152
test	1	3	1	1.0	1.0	0.3333333333333333	0.5	0.7142857142857143	SCC152
