method	labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2
Old model / original 108 labels	108	163	53	0.5740740740740741	0.49074074074074076	0.32515337423312884	0.39114391143911437	0.4453781512605042
Old model / updated labels on shared 37 genomes	112	163	55	0.5714285714285714	0.49107142857142855	0.3374233128834356	0.39999999999999997	0.45008183306055644
Retrained / updated labels on shared 37 genomes	112	172	47	0.49107142857142855	0.41964285714285715	0.27325581395348836	0.3309859154929577	0.3790322580645161
Retrained / full updated 39 genomes	114	179	47	0.4824561403508772	0.41228070175438597	0.26256983240223464	0.3208191126279863	0.3700787401574804
