test_sample	split	n_samples	n_events	ecDNA	chromothripsis	BFB	seismic_amplification
MDA_MD_361	train	42	72	8	25	32	7
MDA_MD_361	validation	5	28	5	7	9	7
MDA_MD_361	test	1	8	0	4	1	3
