split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	78	150	72	0.9230769230769231	0.9230769230769231	0.48	0.631578947368421	0.7792207792207793	SIHA
validation	26	31	18	0.7692307692307693	0.6923076923076923	0.5806451612903226	0.631578947368421	0.6666666666666667	SIHA
test	4	4	2	0.5	0.5	0.5	0.5	0.5	SIHA
