label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.4904518723487854	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769
chromothripsis	0.6974865198135376	0.67	representative	none	4	7	7	3	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.42857142857142855
BFB	0.2914891541004181	1.0	representative	none	2	10	8	7	0.7	0.875	0.7777777777777777	0.7291666666666666
seismic_amplification	0.7821382284164429	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783
