test_sample	split	n_samples	n_events	ecDNA	chromothripsis	BFB	seismic_amplification
SNU1299	train	43	79	8	29	30	12
SNU1299	validation	4	27	5	7	10	5
SNU1299	test	1	2	0	0	2	0
