label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.41126033663749695	0.67	representative	none	4	5	7	3	0.6	0.42857142857142855	0.5	0.5555555555555556
chromothripsis	0.6521559357643127	0.67	representative	none	1	6	3	2	0.3333333333333333	0.6666666666666666	0.4444444444444444	0.3703703703703703
BFB	0.507796049118042	0.67	representative	none	4	10	12	7	0.7	0.5833333333333334	0.6363636363636365	0.6730769230769232
seismic_amplification	0.8545535206794739	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783
