label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.7058953046798706	0.67	representative	none	2	5	2	2	0.4	1.0	0.5714285714285715	0.45454545454545453
chromothripsis	0.6856527924537659	0.67	representative	none	1	5	1	1	0.2	1.0	0.33333333333333337	0.23809523809523808
BFB	0.6245416402816772	1.0	envelope	containment	8	9	13	7	0.7777777777777778	0.5384615384615384	0.6363636363636364	0.7142857142857142
seismic_amplification	0.5509999394416809	0.67	representative	none	2	5	4	3	0.6	0.75	0.6666666666666665	0.625
