label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.4133610725402832	1.0	envelope	containment	4	5	15	4	0.8	0.26666666666666666	0.4	0.5714285714285714
chromothripsis	0.6421007513999939	1.5	envelope	containment	8	6	13	4	0.6666666666666666	0.3076923076923077	0.42105263157894735	0.5405405405405406
BFB	0.4733799397945404	1.5	envelope	none	4	9	15	8	0.8888888888888888	0.5333333333333333	0.6666666666666667	0.7843137254901961
seismic_amplification	0.7411395311355591	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783
