epoch	train_loss	train_positive	train_negative	train_bag	train_quality	validation_loss	validation_positive	validation_negative	validation_bag	validation_quality
1	2.0187041759490967	0.6837235689163208	0.8359780311584473	0.6192036867141724	0.09885631501674652	1.8163228034973145	0.6099453568458557	0.7382950782775879	0.5799509286880493	0.09462641924619675
2	1.8431148529052734	0.5806844234466553	0.84563148021698	0.5193438529968262	0.07797444611787796	1.7612086534500122	0.57407546043396	0.7546562552452087	0.5360410213470459	0.08698922395706177
3	1.7855380773544312	0.533446192741394	0.8748084902763367	0.47062307596206665	0.0694747120141983	1.7265205383300781	0.5512396097183228	0.7647668123245239	0.5089712142944336	0.08224503695964813
4	1.7386263608932495	0.504784882068634	0.8921570181846619	0.4253734052181244	0.06472692638635635	1.6998802423477173	0.534234881401062	0.7707931399345398	0.48970863223075867	0.0787738710641861
5	1.693998098373413	0.4711052477359772	0.9065510034561157	0.39469465613365173	0.05805978924036026	1.6765226125717163	0.5203167200088501	0.7732926607131958	0.4751017689704895	0.07596246153116226
6	1.6830047369003296	0.4592081308364868	0.910353422164917	0.3913523554801941	0.0569397434592247	1.6565545797348022	0.5090372562408447	0.7739813327789307	0.4636365473270416	0.07373888045549393
7	1.651611089706421	0.4418967664241791	0.9169051051139832	0.3656138479709625	0.053139276802539825	1.638787031173706	0.4994974136352539	0.7732404470443726	0.45451435446739197	0.07189548015594482
8	1.622752070426941	0.42443138360977173	0.9151871204376221	0.35407182574272156	0.05022810399532318	1.6237668991088867	0.4925486445426941	0.7705116271972656	0.4479867219924927	0.0706183910369873
9	1.612067461013794	0.42725419998168945	0.9092068076133728	0.3434217870235443	0.05154309421777725	1.6104909181594849	0.4870423376560211	0.7670224905014038	0.44273290038108826	0.06964714825153351
10	1.5933303833007812	0.41246309876441956	0.9119473695755005	0.33593496680259705	0.04848194494843483	1.5996636152267456	0.4831583797931671	0.7627654671669006	0.4394570291042328	0.06899113208055496
11	1.5564730167388916	0.39403265714645386	0.9032396078109741	0.3238373398780823	0.04663669690489769	1.5906856060028076	0.48062270879745483	0.7580252885818481	0.437368243932724	0.06860439479351044
12	1.5323878526687622	0.38454246520996094	0.897209882736206	0.3129523694515228	0.04548937827348709	1.5833537578582764	0.47890761494636536	0.7530657052993774	0.4365967810153961	0.06837967038154602
13	1.5178172588348389	0.38164791464805603	0.8938953876495361	0.3022281229496002	0.04457945004105568	1.5765875577926636	0.47762244939804077	0.748167097568512	0.43587443232536316	0.06826317310333252
14	1.4778155088424683	0.3597928285598755	0.8892479538917542	0.2859819233417511	0.04082350432872772	1.5699650049209595	0.47683000564575195	0.7429855465888977	0.43501195311546326	0.06825893372297287
15	1.464377999305725	0.35410743951797485	0.8824251890182495	0.28508514165878296	0.04008982703089714	1.5626658201217651	0.4758056402206421	0.7377815246582031	0.4335954189300537	0.06823442876338959
16	1.4495681524276733	0.3503135144710541	0.8773978352546692	0.27710485458374023	0.04008065164089203	1.5553609132766724	0.4748118817806244	0.7326264977455139	0.4320378005504608	0.0682692676782608
17	1.414084553718567	0.3331839442253113	0.8692574501037598	0.26477041840553284	0.037329185754060745	1.5480902194976807	0.4740825891494751	0.7271208167076111	0.4305952489376068	0.06840112805366516
18	1.4090015888214111	0.3331686556339264	0.8662503361701965	0.26211243867874146	0.03713775798678398	1.5405079126358032	0.47334545850753784	0.7213426232337952	0.42910096049308777	0.06855454295873642
19	1.3879793882369995	0.32174474000930786	0.8638050556182861	0.253012478351593	0.03620079532265663	1.5327314138412476	0.4730170667171478	0.7151342034339905	0.4273211658000946	0.0688265934586525
20	1.3444592952728271	0.2991945445537567	0.8578458428382874	0.23432929813861847	0.033348485827445984	1.5265288352966309	0.4739367961883545	0.7084013819694519	0.42655372619628906	0.06935805082321167
21	1.3476842641830444	0.2999749183654785	0.8530677556991577	0.24401363730430603	0.03323232755064964	1.520114779472351	0.475134938955307	0.7013940215110779	0.4254687428474426	0.06995495408773422
22	1.3072110414505005	0.2810242474079132	0.8470053672790527	0.2241692692041397	0.03158434107899666	1.5126734972000122	0.4761055111885071	0.6937513947486877	0.424175500869751	0.0705287978053093
23	1.3086382150650024	0.28649723529815674	0.8409174680709839	0.22695209085941315	0.03145550936460495	1.5049575567245483	0.47711417078971863	0.6856971979141235	0.4230056405067444	0.07111994922161102
24	1.2672605514526367	0.273480087518692	0.8310052156448364	0.20279982686042786	0.03050118498504162	1.4981492757797241	0.47880610823631287	0.6772547960281372	0.4226011335849762	0.07182161509990692
25	1.2526711225509644	0.2695831060409546	0.820924699306488	0.20222613215446472	0.029982317239046097	1.4917845726013184	0.4807935655117035	0.6685081720352173	0.42277663946151733	0.07257241010665894
26	1.2380682229995728	0.2575732171535492	0.8206720352172852	0.19968865811824799	0.028732722625136375	1.4873778820037842	0.4841362237930298	0.6590294241905212	0.42462989687919617	0.07354267686605453
27	1.2355107069015503	0.25753673911094666	0.8163495659828186	0.201064333319664	0.030932128429412842	1.4848185777664185	0.48848283290863037	0.6493146419525146	0.42785561084747314	0.07465530931949615
28	1.196169137954712	0.24752692878246307	0.8007568717002869	0.18359287083148956	0.029116429388523102	1.483113408088684	0.4938264489173889	0.6391024589538574	0.43148109316825867	0.07592512667179108
29	1.163323998451233	0.23156201839447021	0.7864338755607605	0.18065112829208374	0.028113728389143944	1.4812676906585693	0.4991690218448639	0.6286373138427734	0.4352743625640869	0.07715918123722076
30	1.1618543863296509	0.2359040081501007	0.7881761193275452	0.17156536877155304	0.02600063569843769	1.4827373027801514	0.5063302516937256	0.6180346012115479	0.44108885526657104	0.07873092591762543
31	1.1246105432510376	0.21853844821453094	0.7757892608642578	0.16167739033699036	0.02578495256602764	1.4862220287322998	0.5146804451942444	0.6068685054779053	0.44864901900291443	0.08053219318389893
32	1.1110790967941284	0.21960511803627014	0.7577771544456482	0.16592685878276825	0.026433544233441353	1.4869073629379272	0.5207016468048096	0.5964295268058777	0.4548039734363556	0.08192335814237595
33	1.0934561491012573	0.2154998630285263	0.7487282156944275	0.15994538366794586	0.026482926681637764	1.4851794242858887	0.525046706199646	0.5864624381065369	0.459476113319397	0.08303792029619217
34	1.0802912712097168	0.21637830138206482	0.7447396516799927	0.14649330079555511	0.026580803096294403	1.4861663579940796	0.5309371948242188	0.5761275887489319	0.4660646319389343	0.08443769812583923
35	1.0508400201797485	0.20270605385303497	0.735974907875061	0.13787086308002472	0.025017043575644493	1.4865107536315918	0.536489725112915	0.5653707981109619	0.4728243947029114	0.08580561727285385
36	1.030000925064087	0.19657760858535767	0.728999674320221	0.12720973789691925	0.025760633870959282	1.4891769886016846	0.5437732934951782	0.5538966059684753	0.4811839759349823	0.08748334646224976
