split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	81	238	76	0.9506172839506173	0.9382716049382716	0.31932773109243695	0.4764890282131661	0.6761565836298933	CFPAC1
validation	25	49	21	0.88	0.84	0.42857142857142855	0.5675675675675675	0.7046979865771812	CFPAC1
test	2	10	2	1.0	1.0	0.2	0.33333333333333337	0.5555555555555556	CFPAC1
