test_sample	split	n_samples	n_events	ecDNA	chromothripsis	BFB	seismic_amplification
CFPAC1	train	43	81	8	29	32	12
CFPAC1	validation	4	25	5	6	9	5
CFPAC1	test	1	2	0	1	1	0
