label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.5056722164154053	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769
chromothripsis	0.5672448873519897	0.67	representative	none	2	6	5	2	0.3333333333333333	0.4	0.3636363636363636	0.3448275862068965
BFB	0.26223719120025635	0.67	representative	none	2	9	8	6	0.6666666666666666	0.75	0.7058823529411765	0.6818181818181819
seismic_amplification	0.7579466700553894	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783
