split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	80	383	78	0.975	0.975	0.20365535248041775	0.3369330453563715	0.5547652916073968	H2009
validation	25	58	21	0.88	0.84	0.3620689655172414	0.5060240963855421	0.6645569620253163	H2009
test	3	8	1	0.3333333333333333	0.3333333333333333	0.125	0.18181818181818182	0.25	H2009
