label	quantile	threshold	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.0	0.20007775723934174	13	1356	11	0.8461538461538461	0.008112094395280236	0.016070124178232285	0.0390625
ecDNA	0.05	0.2657829597592354	13	1288	11	0.8461538461538461	0.008540372670807454	0.01691006917755573	0.04104477611940299
ecDNA	0.1	0.28748375177383423	13	1220	11	0.8461538461538461	0.009016393442622951	0.017842660178426603	0.04323899371069183
ecDNA	0.15000000000000002	0.30254216492176056	13	1152	11	0.8461538461538461	0.009548611111111112	0.018884120171673822	0.04568106312292359
ecDNA	0.2	0.3119662404060364	13	1085	11	0.8461538461538461	0.010138248847926268	0.02003642987249545	0.048372911169744945
ecDNA	0.25	0.32063110172748566	13	1017	11	0.8461538461538461	0.010816125860373648	0.021359223300970877	0.05144995322731526
ecDNA	0.30000000000000004	0.3302196115255356	13	949	11	0.8461538461538461	0.011591148577449948	0.022869022869022874	0.054945054945054944
ecDNA	0.35000000000000003	0.33684607595205307	13	881	11	0.8461538461538461	0.012485811577752554	0.024608501118568233	0.05894962486602358
ecDNA	0.4	0.34271058440208435	13	814	11	0.8461538461538461	0.013513513513513514	0.02660217654171705	0.06351039260969978
ecDNA	0.45	0.3474021703004837	13	746	10	0.7692307692307693	0.013404825737265416	0.026350461133069828	0.06265664160401002
ecDNA	0.5	0.3540496975183487	13	678	10	0.7692307692307693	0.014749262536873156	0.028943560057887122	0.0684931506849315
ecDNA	0.55	0.36025378853082657	13	610	9	0.6923076923076923	0.014754098360655738	0.028892455858747994	0.06797583081570996
ecDNA	0.6000000000000001	0.367141991853714	13	543	9	0.6923076923076923	0.016574585635359115	0.03237410071942446	0.07563025210084033
ecDNA	0.65	0.37407737970352173	13	475	8	0.6153846153846154	0.016842105263157894	0.03278688524590164	0.07590132827324479
ecDNA	0.7000000000000001	0.37952636182308197	13	407	8	0.6153846153846154	0.019656019656019656	0.03809523809523809	0.08714596949891067
ecDNA	0.75	0.38543248176574707	13	339	8	0.6153846153846154	0.02359882005899705	0.045454545454545456	0.10230179028132992
ecDNA	0.8	0.39592161774635315	13	272	8	0.6153846153846154	0.029411764705882353	0.056140350877192984	0.1234567901234568
ecDNA	0.8500000000000001	0.4047460034489632	13	204	8	0.6153846153846154	0.0392156862745098	0.07373271889400922	0.15625
ecDNA	0.9	0.4212915450334549	13	136	7	0.5384615384615384	0.051470588235294115	0.09395973154362415	0.1861702127659574
ecDNA	0.91	0.4239226520061493	13	122	7	0.5384615384615384	0.05737704918032787	0.10370370370370371	0.20114942528735633
ecDNA	0.915	0.42482526004314425	13	116	7	0.5384615384615384	0.0603448275862069	0.10852713178294575	0.20833333333333331
ecDNA	0.92	0.42736012935638434	13	109	7	0.5384615384615384	0.06422018348623854	0.11475409836065575	0.2173913043478261
ecDNA	0.925	0.4302786849439144	13	102	7	0.5384615384615384	0.06862745098039216	0.12173913043478261	0.22727272727272724
ecDNA	0.93	0.43434235900640494	13	95	7	0.5384615384615384	0.07368421052631578	0.12962962962962962	0.2380952380952381
