split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	81	287	76	0.9506172839506173	0.9382716049382716	0.26480836236933797	0.4130434782608695	0.6219312602291326	ZR7530
validation	25	41	20	0.84	0.8	0.4878048780487805	0.6060606060606061	0.7092198581560284	ZR7530
test	2	10	1	1.0	0.5	0.1	0.16666666666666669	0.2777777777777778	ZR7530
