test_sample	split	n_samples	n_events	ecDNA	chromothripsis	BFB	seismic_amplification
ZR7530	train	43	81	8	30	33	10
ZR7530	validation	4	25	5	6	9	5
ZR7530	test	1	2	0	0	0	2
