split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	80	260	69	0.875	0.8625	0.2653846153846154	0.4058823529411765	0.5948275862068966	SUIT
validation	27	39	20	0.7777777777777778	0.7407407407407407	0.5128205128205128	0.6060606060606061	0.6802721088435374	SUIT
test	1	6	1	1.0	1.0	0.16666666666666666	0.2857142857142857	0.5	SUIT
