epoch	train_loss	train_positive	train_negative	train_bag	train_quality	validation_loss	validation_positive	validation_negative	validation_bag	validation_quality
1	2.0372252464294434	0.7226316928863525	0.8026116490364075	0.6331239342689514	0.10611112415790558	1.7815996408462524	0.6046724319458008	0.7249408960342407	0.5585496425628662	0.09449711441993713
2	1.8484808206558228	0.6029676198959351	0.8302276730537415	0.5146207213401794	0.08377108722925186	1.7174326181411743	0.5612654089927673	0.7397996187210083	0.5153903365135193	0.08521382510662079
3	1.7833610773086548	0.5574186444282532	0.858559787273407	0.455221951007843	0.07418893277645111	1.6793804168701172	0.5343837738037109	0.7503833174705505	0.4890122711658478	0.07958295196294785
4	1.7415668964385986	0.5181867480278015	0.8831331133842468	0.4222855269908905	0.06723687052726746	1.6525405645370483	0.515488862991333	0.7580554485321045	0.4700152575969696	0.07567087560892105
5	1.6891156435012817	0.48441430926322937	0.8927221298217773	0.3872486352920532	0.061550356447696686	1.6308870315551758	0.5004869699478149	0.7635035514831543	0.45532336831092834	0.07258271425962448
6	1.688231110572815	0.4780186116695404	0.9021121859550476	0.3825439512729645	0.06054987385869026	1.611191749572754	0.48752740025520325	0.7674155235290527	0.44234901666641235	0.06996304541826248
7	1.6451064348220825	0.4522775411605835	0.9111639857292175	0.3491341173648834	0.05661258101463318	1.5922807455062866	0.4760531783103943	0.7698075175285339	0.4302993714809418	0.06770151853561401
8	1.624582290649414	0.43585747480392456	0.909395694732666	0.34740254282951355	0.05364878475666046	1.5762625932693481	0.4672081470489502	0.7699874043464661	0.4212900400161743	0.06599867343902588
9	1.619265079498291	0.434639573097229	0.9141390323638916	0.33536413311958313	0.05418086796998978	1.56325364112854	0.4609161913394928	0.7677425742149353	0.4158908426761627	0.0647907480597496
10	1.5693604946136475	0.41190528869628906	0.9019204378128052	0.31754881143569946	0.04963788762688637	1.5520126819610596	0.45628300309181213	0.7638682723045349	0.41265568137168884	0.06391309946775436
11	1.5678659677505493	0.4132193922996521	0.8980991840362549	0.3183589577674866	0.05079464986920357	1.5410029888153076	0.4522308111190796	0.7591587901115417	0.41001036763191223	0.0631592646241188
12	1.5407549142837524	0.4009045660495758	0.8905285596847534	0.31050384044647217	0.04698270559310913	1.5302287340164185	0.4489034414291382	0.7536324858665466	0.40771740674972534	0.06258538365364075
13	1.5091596841812134	0.3855254650115967	0.8808650374412537	0.3018665015697479	0.04676924645900726	1.5187923908233643	0.44593214988708496	0.7474682331085205	0.40486541390419006	0.06212262809276581
