epoch	train_loss	train_positive	train_negative	train_bag	train_quality	validation_loss	validation_positive	validation_negative	validation_bag	validation_quality
1	2.1053659915924072	0.7335430979728699	0.8176814317703247	0.6893857717514038	0.10600665211677551	1.8317205905914307	0.6128723621368408	0.7348403334617615	0.6005186438560486	0.09605414420366287
2	1.9058960676193237	0.6125792264938354	0.8343234062194824	0.5731478333473206	0.08323567360639572	1.7589442729949951	0.5654316544532776	0.7543256878852844	0.5455805659294128	0.08571860194206238
3	1.8243995904922485	0.5527849197387695	0.8599318265914917	0.5153722763061523	0.07186736911535263	1.7148668766021729	0.5390554070472717	0.7642208933830261	0.5113655924797058	0.0801897644996643
4	1.7730790376663208	0.5133155584335327	0.8900949954986572	0.46263521909713745	0.06483448296785355	1.687766194343567	0.5239362120628357	0.7683438062667847	0.49132558703422546	0.0771200954914093
5	1.7295304536819458	0.4932956397533417	0.8955828547477722	0.4251343905925751	0.06228914111852646	1.665217399597168	0.5103766918182373	0.7722486257553101	0.4754185676574707	0.07436606287956238
6	1.6775809526443481	0.4572635591030121	0.9037718772888184	0.39637264609336853	0.05504573881626129	1.6453948020935059	0.4989549517631531	0.7747714519500732	0.46191707253456116	0.07208707183599472
7	1.6649401187896729	0.4543535113334656	0.902254581451416	0.3861667215824127	0.05344817414879799	1.6273317337036133	0.48896148800849915	0.7760477066040039	0.4503692388534546	0.07013043016195297
8	1.6371655464172363	0.4358304738998413	0.9042244553565979	0.37151458859443665	0.05278443545103073	1.6096739768981934	0.4795042872428894	0.7762703895568848	0.4399915635585785	0.06830135732889175
9	1.6155246496200562	0.425035297870636	0.9028793573379517	0.35978320240974426	0.050778746604919434	1.5922197103500366	0.4708133339881897	0.7756587862968445	0.4298816919326782	0.06667512655258179
10	1.5860339403152466	0.4116434156894684	0.9018758535385132	0.3409862518310547	0.047928690910339355	1.5757019519805908	0.4632190465927124	0.7739964127540588	0.4208281934261322	0.06532958894968033
11	1.5601028203964233	0.3961050510406494	0.902941107749939	0.32669228315353394	0.04582144320011139	1.5605579614639282	0.45676007866859436	0.7712210416793823	0.41345512866973877	0.06424440443515778
12	1.5281133651733398	0.3811364769935608	0.8951516151428223	0.3151133060455322	0.044257886707782745	1.545633316040039	0.45093515515327454	0.7673678398132324	0.40689194202423096	0.06331814080476761
13	1.5025326013565063	0.36623045802116394	0.892655611038208	0.3057449758052826	0.04096512123942375	1.5317988395690918	0.4460628032684326	0.762538492679596	0.40171298384666443	0.06260791420936584
14	1.4853519201278687	0.36104288697242737	0.8851076364517212	0.2995482087135315	0.04154367372393608	1.517967700958252	0.4416385889053345	0.7570061087608337	0.39682355523109436	0.06201525405049324
15	1.4531681537628174	0.353899210691452	0.871995210647583	0.2836655378341675	0.04149871692061424	1.5055989027023315	0.43858402967453003	0.7503581047058105	0.3934118449687958	0.06170803681015968
16	1.4293434619903564	0.3428228795528412	0.8692011833190918	0.27159053087234497	0.03893264755606651	1.4943735599517822	0.43658432364463806	0.7427495121955872	0.39129582047462463	0.061622440814971924
17	1.4300261735916138	0.3359934389591217	0.8639838099479675	0.28828805685043335	0.03952247276902199	1.4840548038482666	0.43560725450515747	0.7341442108154297	0.3902578055858612	0.06174290180206299
18	1.4022520780563354	0.3269578516483307	0.8601735830307007	0.2687767446041107	0.038680411875247955	1.473456621170044	0.4346899688243866	0.7249850034713745	0.3894754648208618	0.061928391456604004
19	1.3631356954574585	0.30782368779182434	0.8559340238571167	0.24946212768554688	0.03508983924984932	1.4642943143844604	0.43494558334350586	0.7151681780815125	0.3898135721683502	0.062343671917915344
20	1.3423789739608765	0.3024884760379791	0.8445936441421509	0.24393562972545624	0.03527194634079933	1.4564208984375	0.4364415407180786	0.7047349214553833	0.390927791595459	0.06299609690904617
21	1.3378263711929321	0.31210899353027344	0.8282745480537415	0.24641576409339905	0.03608858212828636	1.4486502408981323	0.4380650520324707	0.6941096186637878	0.39226028323173523	0.06365804374217987
22	1.3168424367904663	0.2976994514465332	0.825307309627533	0.24285796284675598	0.03340625390410423	1.4416958093643188	0.44012969732284546	0.6834975481033325	0.39404621720314026	0.06438292562961578
23	1.2907212972640991	0.2872720956802368	0.8190772533416748	0.22995394468307495	0.03401870280504227	1.4360421895980835	0.4430531859397888	0.6725711822509766	0.39677000045776367	0.06525798887014389
24	1.2621490955352783	0.27740299701690674	0.8058428764343262	0.22345580160617828	0.032318368554115295	1.4306658506393433	0.4462849199771881	0.6614820957183838	0.39962640404701233	0.06622587144374847
25	1.248747706413269	0.28252971172332764	0.7976697683334351	0.20912162959575653	0.03344845771789551	1.4254292249679565	0.4497693181037903	0.6495607495307922	0.4034292697906494	0.06722082942724228
26	1.224364161491394	0.26851290464401245	0.7828023433685303	0.2157483845949173	0.032107286155223846	1.419847846031189	0.45278215408325195	0.638300359249115	0.4065650999546051	0.06811846047639847
27	1.2091484069824219	0.26329198479652405	0.7841613292694092	0.20060494542121887	0.03211821988224983	1.4158344268798828	0.45671167969703674	0.6268393993377686	0.41076409816741943	0.06917249411344528
28	1.1680048704147339	0.24273476004600525	0.763235330581665	0.20230799913406372	0.029439203441143036	1.4139456748962402	0.4620077908039093	0.6150633692741394	0.41627243161201477	0.07048604637384415
29	1.1479074954986572	0.2383364737033844	0.7649204730987549	0.17881165444850922	0.0301193967461586	1.414966106414795	0.46943363547325134	0.6026341915130615	0.42349502444267273	0.07222001999616623
30	1.128135323524475	0.23150016367435455	0.750156581401825	0.18129420280456543	0.030022593215107918	1.4174784421920776	0.4779982566833496	0.5901158452033997	0.43121621012687683	0.07414916157722473
31	1.1008870601654053	0.23179644346237183	0.736083984375	0.16379272937774658	0.02903454378247261	1.4243825674057007	0.48946288228034973	0.5768412351608276	0.4416765868663788	0.07663138210773468
32	1.0895030498504639	0.2263006865978241	0.7333499193191528	0.15883618593215942	0.030643464997410774	1.4344913959503174	0.5026435256004333	0.5635688304901123	0.45399367809295654	0.07938221096992493
33	1.0761446952819824	0.22839538753032684	0.7185925245285034	0.15778589248657227	0.03090655617415905	1.4452309608459473	0.5157038569450378	0.550713837146759	0.4667750895023346	0.08209124207496643
34	1.0584440231323242	0.22446061670780182	0.7033467292785645	0.1606457233428955	0.029006745666265488	1.4560683965682983	0.5278044939041138	0.5385357141494751	0.4801487624645233	0.08461868762969971
35	1.0247533321380615	0.21257703006267548	0.691490650177002	0.14801229536533356	0.02764696255326271	1.4653429985046387	0.5383102893829346	0.5273769497871399	0.4923361837863922	0.08686759322881699
36	1.0061010122299194	0.19970664381980896	0.6892769932746887	0.14422404766082764	0.025569822639226913	1.477741003036499	0.5506919622421265	0.5159783363342285	0.506296694278717	0.0895664170384407
37	0.9649463891983032	0.1878872513771057	0.6763092279434204	0.12286009639501572	0.02458512969315052	1.4895071983337402	0.5629782676696777	0.5041845440864563	0.52006596326828	0.09227155148983002
38	0.9508200883865356	0.19030018150806427	0.661779522895813	0.11928937584161758	0.026495367288589478	1.5020935535430908	0.5762385725975037	0.4921475648880005	0.5338435173034668	0.0952138751745224
39	0.9294472336769104	0.17483863234519958	0.661479115486145	0.11237001419067383	0.025291308760643005	1.5185259580612183	0.5928352475166321	0.47927525639533997	0.5491008162498474	0.09882818907499313
40	0.9207571148872375	0.17610464990139008	0.6456526517868042	0.12004469335079193	0.025617927312850952	1.533568263053894	0.6098999381065369	0.4656306505203247	0.562848687171936	0.10257476568222046
41	0.9043638706207275	0.17375674843788147	0.634049654006958	0.11775833368301392	0.023539245128631592	1.5452357530593872	0.6251012086868286	0.4521610736846924	0.5745306611061096	0.10592971742153168
42	0.8642964959144592	0.16774091124534607	0.6150034666061401	0.09649325907230377	0.026234682649374008	1.5510841608047485	0.6358307600021362	0.43971195816993713	0.5834652781486511	0.10840711742639542
43	0.8528607487678528	0.16260388493537903	0.6105896234512329	0.09533210098743439	0.023337606340646744	1.558465600013733	0.6473933458328247	0.4267537593841553	0.593949556350708	0.11101827025413513
44	0.8338192105293274	0.15667954087257385	0.5986936688423157	0.09367066621780396	0.023408429697155952	1.5689568519592285	0.6604567170143127	0.4130188226699829	0.6074777245521545	0.11392264068126678
45	0.8316463828086853	0.16358688473701477	0.5860822796821594	0.09735935181379318	0.025593334808945656	1.583533525466919	0.6757326722145081	0.39938920736312866	0.6232519745826721	0.11706477403640747
46	0.7997989058494568	0.15902286767959595	0.5633535981178284	0.09062980115413666	0.027000293135643005	1.6067733764648438	0.6962664723396301	0.3854781985282898	0.6435694694519043	0.12100467085838318
47	0.7815394401550293	0.1443852037191391	0.5599562525749207	0.09197088330984116	0.023485329002141953	1.6318001747131348	0.717507541179657	0.3723691403865814	0.6642840504646301	0.1248869076371193
48	0.7667409777641296	0.15610235929489136	0.5352745056152344	0.08922801166772842	0.024123167619109154	1.650139331817627	0.7354636192321777	0.36007165908813477	0.6797108054161072	0.12806002795696259
49	0.7450951933860779	0.14702531695365906	0.5336959958076477	0.07428508251905441	0.02474300190806389	1.6741516590118408	0.7561969757080078	0.34800827503204346	0.6985106468200684	0.13160979747772217
50	0.715636134147644	0.1349412500858307	0.519538402557373	0.07007631659507751	0.024569343775510788	1.695847749710083	0.7743908762931824	0.3362428545951843	0.7174115777015686	0.13472962379455566
51	0.6893777251243591	0.13237018883228302	0.5066244602203369	0.05666476860642433	0.022527074441313744	1.7244101762771606	0.7971640229225159	0.32333090901374817	0.7405512928962708	0.13857638835906982
52	0.6577109098434448	0.11791623383760452	0.4897385835647583	0.056257400661706924	0.022465871647000313	1.754919171333313	0.821490466594696	0.3089940547943115	0.7660500407218933	0.14256291091442108
53	0.6748180389404297	0.13027170300483704	0.4861990809440613	0.0671766996383667	0.022756321355700493	1.789757251739502	0.8479825258255005	0.29503971338272095	0.7938227653503418	0.14676529169082642
54	0.6356639266014099	0.11865460127592087	0.47214189171791077	0.05028742179274559	0.020434003323316574	1.8305695056915283	0.8785249590873718	0.28050005435943604	0.8247230052947998	0.15143533051013947
55	0.6147681474685669	0.11676066368818283	0.4500986337661743	0.05259440094232559	0.024180058389902115	1.8768469095230103	0.9132674336433411	0.265031635761261	0.8583391308784485	0.15655291080474854
56	0.5959692597389221	0.12222631275653839	0.4271252155303955	0.05153486877679825	0.022761724889278412	1.9120190143585205	0.9397711753845215	0.2520277500152588	0.8854930996894836	0.16028645634651184
57	0.5961624383926392	0.12688206136226654	0.4174007475376129	0.058247216045856476	0.023412037640810013	1.9365286827087402	0.9594922661781311	0.24112141132354736	0.9052056670188904	0.16288746893405914
58	0.578642725944519	0.11798743158578873	0.4121344983577728	0.0536365732550621	0.02369542419910431	1.9583537578582764	0.9778069257736206	0.23303928971290588	0.9195883274078369	0.16518931090831757
59	0.5454762578010559	0.115541011095047	0.3840584456920624	0.050723012536764145	0.02238437905907631	1.9869799613952637	0.9990308880805969	0.22674302756786346	0.9365744590759277	0.16792917251586914
60	0.5314842462539673	0.10349048674106598	0.390656054019928	0.039870284497737885	0.021242965012788773	2.020508050918579	1.0218727588653564	0.21974095702171326	0.9587697386741638	0.17090564966201782
61	0.5413241386413574	0.11324530094861984	0.38427919149398804	0.048480018973350525	0.02125612273812294	2.0423641204833984	1.0363149642944336	0.2124301642179489	0.977592945098877	0.1726410984992981
62	0.5104236006736755	0.09742617607116699	0.3748920261859894	0.04106636345386505	0.02087312564253807	2.080545663833618	1.0625447034835815	0.2028883993625641	1.0047513246536255	0.17585419118404388
63	0.48241886496543884	0.08985790610313416	0.35991984605789185	0.03417109698057175	0.02003653161227703	2.137643814086914	1.102440595626831	0.19014476239681244	1.0423672199249268	0.1808086484670639
