test_sample	split	n_samples	n_events	ecDNA	chromothripsis	BFB	seismic_amplification
HCC1937	train	43	83	8	30	33	12
HCC1937	validation	4	24	5	5	9	5
HCC1937	test	1	1	0	1	0	0
