split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	81	383	66	0.8641975308641975	0.8148148148148148	0.17232375979112272	0.28448275862068967	0.4667609618104668	CERV186
validation	26	47	18	0.7692307692307693	0.6923076923076923	0.3829787234042553	0.4931506849315068	0.5960264900662251	CERV186
test	1	10	1	1.0	1.0	0.1	0.18181818181818182	0.35714285714285715	CERV186
