split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	80	292	73	0.925	0.9125	0.25	0.3924731182795699	0.5964052287581699	CERV215
validation	26	50	20	0.8461538461538461	0.7692307692307693	0.4	0.5263157894736842	0.6493506493506493	CERV215
test	2	9	2	1.0	1.0	0.2222222222222222	0.3636363636363636	0.5882352941176471	CERV215
