epoch	train_loss	train_positive	train_negative	train_bag	train_quality	validation_loss	validation_positive	validation_negative	validation_bag	validation_quality
1	2.026008129119873	0.6792771220207214	0.8644872307777405	0.5962275862693787	0.10020847618579865	1.8177833557128906	0.6080738306045532	0.741750955581665	0.5826201438903809	0.08855286240577698
2	1.8393962383270264	0.5697420239448547	0.8681678771972656	0.4984756112098694	0.07894161343574524	1.7437039613723755	0.5628923177719116	0.7540187239646912	0.5319965481758118	0.07941600680351257
3	1.7658244371414185	0.5136933922767639	0.8999626636505127	0.43750062584877014	0.06869404762983322	1.6987800598144531	0.535000741481781	0.764534056186676	0.49775686860084534	0.07407855987548828
4	1.7172002792358398	0.47878319025039673	0.9203821420669556	0.3949355185031891	0.06238040700554848	1.6697282791137695	0.516916811466217	0.7718144655227661	0.4749923348426819	0.07072184234857559
5	1.671614646911621	0.45188188552856445	0.9251752495765686	0.366318941116333	0.056623902171850204	1.647624135017395	0.5031566023826599	0.7768555283546448	0.4583069682121277	0.06823373585939407
6	1.6464515924453735	0.4319048523902893	0.9371092319488525	0.3446875214576721	0.05406273528933525	1.6301405429840088	0.49273091554641724	0.7795631885528564	0.4461490511894226	0.06638497114181519
7	1.6206058263778687	0.41959843039512634	0.9340421557426453	0.33207637071609497	0.0511656180024147	1.6129777431488037	0.48356136679649353	0.7799702286720276	0.435697466135025	0.0647803321480751
8	1.5883204936981201	0.3949296474456787	0.9355408549308777	0.3214794397354126	0.047829460352659225	1.5970350503921509	0.47624772787094116	0.7784500122070312	0.4268237054347992	0.06348450481891632
9	1.571895956993103	0.3880753517150879	0.9359740018844604	0.30870217084884644	0.046628568321466446	1.581651210784912	0.4700812101364136	0.7754413485527039	0.4190562963485718	0.06239002197980881
10	1.5383498668670654	0.37486502528190613	0.9252634644508362	0.29678255319595337	0.044669948518276215	1.5693175792694092	0.4659753441810608	0.7713754773139954	0.41385987401008606	0.061633821576833725
11	1.5102585554122925	0.36001938581466675	0.9203456044197083	0.2874780595302582	0.040814176201820374	1.5587645769119263	0.46327733993530273	0.766430139541626	0.41021057963371277	0.06114036217331886
12	1.4964745044708252	0.3566417694091797	0.9133086800575256	0.2823464572429657	0.04218365252017975	1.549780011177063	0.4615311026573181	0.7612831592559814	0.4075506329536438	0.06086476147174835
13	1.4671401977539062	0.3467538356781006	0.9071503281593323	0.26569864153862	0.03989200294017792	1.5432898998260498	0.46140414476394653	0.7559835314750671	0.40612784028053284	0.060875147581100464
14	1.4446905851364136	0.33032315969467163	0.9003273844718933	0.26758870482444763	0.03813835605978966	1.537509799003601	0.46183568239212036	0.7503862380981445	0.40523868799209595	0.06102524325251579
15	1.4266502857208252	0.3231528103351593	0.8945764303207397	0.2615552842617035	0.03644181787967682	1.5316764116287231	0.4623001217842102	0.7446374893188477	0.4044020473957062	0.061249278485774994
16	1.3968347311019897	0.31449300050735474	0.8876923322677612	0.24325978755950928	0.034869976341724396	1.5261846780776978	0.46290597319602966	0.738670289516449	0.4040738642215729	0.061580006033182144
17	1.3917797803878784	0.3171771764755249	0.877350926399231	0.24591489136219025	0.0366155207157135	1.5218749046325684	0.4640151560306549	0.7325813174247742	0.40474995970726013	0.06204545497894287
18	1.3662610054016113	0.29459860920906067	0.8792940974235535	0.24064533412456512	0.03395489230751991	1.518997311592102	0.46589037775993347	0.7259952425956726	0.4068988561630249	0.06267882883548737
19	1.3420472145080566	0.2899792194366455	0.8679777979850769	0.2304254025220871	0.03220309689640999	1.5166356563568115	0.46826979517936707	0.7193611264228821	0.4090728759765625	0.06342898309230804
20	1.3250277042388916	0.2831360399723053	0.865016520023346	0.220676988363266	0.032477978616952896	1.514621615409851	0.470775842666626	0.7128652334213257	0.4113474190235138	0.06419994682073593
21	1.2958725690841675	0.27365854382514954	0.8631203174591064	0.19751852750778198	0.03129954636096954	1.5140538215637207	0.4739154577255249	0.7061985731124878	0.41488221287727356	0.06508028507232666
22	1.271369218826294	0.25817540287971497	0.8481791019439697	0.20591577887535095	0.03022247739136219	1.513580083847046	0.4769468903541565	0.6996021270751953	0.41861680150032043	0.06591027975082397
23	1.2662696838378906	0.2590053975582123	0.8504674434661865	0.19515037536621094	0.02981141209602356	1.5140562057495117	0.4807434678077698	0.6924750208854675	0.42326819896698	0.066818967461586
24	1.2508087158203125	0.2538164258003235	0.8405617475509644	0.19529016315937042	0.02846512198448181	1.5117628574371338	0.48309287428855896	0.6855365633964539	0.42599913477897644	0.06752599030733109
25	1.2350319623947144	0.2488875389099121	0.8359818458557129	0.18699128925800323	0.02834021858870983	1.5088788270950317	0.48533207178115845	0.6781729459762573	0.42869284749031067	0.06815461814403534
26	1.2103278636932373	0.23767291009426117	0.8263587355613708	0.18217237293720245	0.0276198610663414	1.5044173002243042	0.4865935742855072	0.6708692312240601	0.4306217133998871	0.06853742897510529
27	1.175508737564087	0.22524714469909668	0.819028377532959	0.16228285431861877	0.027203312143683434	1.5010559558868408	0.48856067657470703	0.6633488535881042	0.4333290457725525	0.06899897009134293
28	1.1713601350784302	0.2240854948759079	0.8214291334152222	0.15549355745315552	0.026358140632510185	1.4991534948349	0.49153631925582886	0.6552343368530273	0.43735575675964355	0.0696171373128891
29	1.15091872215271	0.21528086066246033	0.8160778284072876	0.1477867066860199	0.02491401694715023	1.4987411499023438	0.4954933524131775	0.647000253200531	0.4421614408493042	0.07036124914884567
30	1.1342514753341675	0.20689694583415985	0.7980687618255615	0.16089658439159393	0.024609588086605072	1.4979009628295898	0.49925512075424194	0.6387405395507812	0.4466813802719116	0.07112637907266617
31	1.129425287246704	0.20856213569641113	0.8005608320236206	0.148577481508255	0.025340404361486435	1.502027988433838	0.5057567954063416	0.6304824352264404	0.45394352078437805	0.07237428426742554
32	1.0938434600830078	0.1977551430463791	0.7821054458618164	0.14097759127616882	0.023570559918880463	1.5045866966247559	0.5108726620674133	0.6228163242340088	0.4602450430393219	0.0734681785106659
33	1.094461441040039	0.1984684020280838	0.7879020571708679	0.1319972723722458	0.025980133563280106	1.5105050802230835	0.5178965926170349	0.6144554615020752	0.469279021024704	0.07483910024166107
34	1.084354043006897	0.20177504420280457	0.7754961252212524	0.13118861615657806	0.024832721799612045	1.517707109451294	0.5255409479141235	0.6060144305229187	0.4792573153972626	0.07631082832813263
35	1.0566349029541016	0.18290618062019348	0.7691080570220947	0.12918595969676971	0.022089123725891113	1.521085500717163	0.5310298204421997	0.5976769328117371	0.4870114028453827	0.07748621702194214
36	1.026857614517212	0.1709337830543518	0.7630073428153992	0.11371128261089325	0.021808583289384842	1.5197612047195435	0.5343124270439148	0.588945746421814	0.4920777380466461	0.07841364294290543
37	1.0303258895874023	0.1788943111896515	0.7526768445968628	0.12086121737957001	0.023167986422777176	1.5188829898834229	0.5381712913513184	0.580095648765564	0.4970848858356476	0.07943513989448547
38	1.0111427307128906	0.17780107259750366	0.7422956228256226	0.11072365939617157	0.02286633476614952	1.5119836330413818	0.5390195250511169	0.571750819683075	0.4976056218147278	0.08002588152885437
39	0.9872363209724426	0.15996931493282318	0.7339167594909668	0.11484706401824951	0.020614225417375565	1.5028834342956543	0.5386471748352051	0.5633886456489563	0.4969501495361328	0.08038579672574997
40	0.9704520106315613	0.15731647610664368	0.7276400327682495	0.10379938781261444	0.021845845505595207	1.4976590871810913	0.5406770706176758	0.5550441741943359	0.4980369210243225	0.08117181062698364
41	0.9662646055221558	0.15806466341018677	0.7230753898620605	0.10364941507577896	0.021107174456119537	1.499140739440918	0.5465991497039795	0.5462494492530823	0.5032098293304443	0.08252820372581482
42	0.9407081604003906	0.14616408944129944	0.7151417136192322	0.09647995978593826	0.020120929926633835	1.5044119358062744	0.5546184778213501	0.5370487570762634	0.5110278129577637	0.084211066365242
43	0.9123877286911011	0.1406221091747284	0.6999738812446594	0.08722168207168579	0.018215743824839592	1.509420394897461	0.562752902507782	0.5277490615844727	0.5184680223464966	0.08590655773878098
44	0.9167996048927307	0.14759701490402222	0.6909935474395752	0.09470172226428986	0.020522229373455048	1.5158941745758057	0.5718904733657837	0.5186166167259216	0.5262071490287781	0.08780526369810104
45	0.889141321182251	0.1403224617242813	0.6811339855194092	0.0801771730184555	0.021577272564172745	1.5162714719772339	0.5780259370803833	0.5091871619224548	0.5303869843482971	0.08933772146701813
46	0.8795154690742493	0.14255966246128082	0.6694949865341187	0.08110064268112183	0.018958156928420067	1.5146949291229248	0.5830180048942566	0.4997769296169281	0.5335338711738586	0.09071318805217743
47	0.8668339848518372	0.1291460245847702	0.665823221206665	0.08603490144014359	0.020967133343219757	1.5172863006591797	0.5899445414543152	0.4906604588031769	0.539161741733551	0.09231413900852203
48	0.847054660320282	0.12897524237632751	0.6583555936813354	0.07004713267087936	0.02053840085864067	1.5248403549194336	0.6000621318817139	0.48082369565963745	0.5479141473770142	0.09433949738740921
49	0.8450114130973816	0.12840880453586578	0.652389645576477	0.07647715508937836	0.01958603598177433	1.541210651397705	0.6151250004768372	0.47048357129096985	0.5621781349182129	0.09705277532339096
50	0.8299493789672852	0.12690258026123047	0.6385281085968018	0.07677843421697617	0.01981395110487938	1.5633995532989502	0.6335967779159546	0.4596118927001953	0.580125093460083	0.10027731955051422
