split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	79	268	74	0.9493670886075949	0.9367088607594937	0.27611940298507465	0.4265129682997118	0.6335616438356164	CERV196
validation	26	45	19	0.8076923076923077	0.7307692307692307	0.4222222222222222	0.5352112676056338	0.6375838926174496	CERV196
test	3	8	1	0.3333333333333333	0.3333333333333333	0.125	0.18181818181818182	0.25	CERV196
