split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	82	218	76	0.9390243902439024	0.926829268292683	0.3486238532110092	0.5066666666666667	0.695970695970696	SNU682
validation	25	51	20	0.84	0.8	0.39215686274509803	0.5263157894736842	0.662251655629139	SNU682
test	1	11	1	1.0	1.0	0.09090909090909091	0.16666666666666669	0.3333333333333333	SNU682
