label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.4875129163265228	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769
chromothripsis	0.6390383243560791	0.67	representative	none	8	6	14	4	0.6666666666666666	0.2857142857142857	0.4	0.5263157894736842
BFB	0.5864343643188477	1.5	representative	none	4	9	12	8	0.8888888888888888	0.6666666666666666	0.761904761904762	0.8333333333333333
seismic_amplification	0.7584728002548218	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783
