split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	80	234	75	0.95	0.9375	0.32051282051282054	0.4777070063694268	0.6768953068592058	H1395
validation	27	48	21	0.8148148148148148	0.7777777777777778	0.4375	0.56	0.6730769230769231	H1395
test	1	11	1	1.0	1.0	0.09090909090909091	0.16666666666666669	0.3333333333333333	H1395
