test_sample	split	n_samples	n_events	ecDNA	chromothripsis	BFB	seismic_amplification
MDA_MD_453	train	43	77	8	26	32	11
MDA_MD_453	validation	4	27	5	7	10	5
MDA_MD_453	test	1	4	0	3	0	1
