label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.4839835464954376	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769
chromothripsis	0.5124875903129578	0.67	representative	none	8	6	14	4	0.6666666666666666	0.2857142857142857	0.4	0.5263157894736842
BFB	0.1972041130065918	0.67	representative	none	2	9	8	6	0.6666666666666666	0.75	0.7058823529411765	0.6818181818181819
seismic_amplification	0.7257527112960815	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783
