test_sample	split	n_samples	n_events	ecDNA	chromothripsis	BFB	seismic_amplification
SNU1245	train	43	81	8	28	33	12
SNU1245	validation	4	25	5	6	9	5
SNU1245	test	1	2	0	2	0	0
