label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.5160508751869202	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769
chromothripsis	0.6083438396453857	0.67	representative	none	4	7	10	3	0.42857142857142855	0.3	0.3529411764705882	0.3947368421052631
BFB	0.23059603571891785	0.67	representative	none	2	10	8	7	0.7	0.875	0.7777777777777777	0.7291666666666666
seismic_amplification	0.7773845195770264	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783
