label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.4879969656467438	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769
chromothripsis	0.7488544583320618	0.67	representative	none	2	6	3	2	0.3333333333333333	0.6666666666666666	0.4444444444444444	0.3703703703703703
BFB	0.2272004634141922	0.67	representative	none	2	9	8	6	0.6666666666666666	0.75	0.7058823529411765	0.6818181818181819
seismic_amplification	0.7843144536018372	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783
