test_sample	split	n_samples	n_events	ecDNA	chromothripsis	BFB	seismic_amplification
SNU1000	train	43	80	8	29	31	12
SNU1000	validation	4	25	5	6	9	5
SNU1000	test	1	3	0	1	2	0
