split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	81	206	75	0.9259259259259259	0.9259259259259259	0.3640776699029126	0.5226480836236934	0.7075471698113208	DOTC2
validation	26	36	18	0.7307692307692307	0.6923076923076923	0.5	0.5806451612903226	0.6428571428571428	DOTC2
test	1	6	0	0.0	0.0	0.0	0.0	0.0	DOTC2
