test_sample	split	n_samples	n_events	ecDNA	chromothripsis	BFB	seismic_amplification
DOTC2	train	43	81	8	30	31	12
DOTC2	validation	4	26	5	6	10	5
DOTC2	test	1	1	0	0	1	0
