split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	79	177	72	0.9240506329113924	0.9113924050632911	0.4067796610169492	0.5625	0.7302231237322514	HT3
validation	25	37	19	0.8	0.76	0.5135135135135135	0.6129032258064517	0.6934306569343066	HT3
test	4	4	2	0.5	0.5	0.5	0.5	0.5	HT3
