test_sample	split	n_samples	n_events	ecDNA	chromothripsis	BFB	seismic_amplification
SNU1005	train	43	80	7	29	32	12
SNU1005	validation	4	25	5	6	9	5
SNU1005	test	1	3	1	1	1	0
