label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.4361090362071991	1.0	representative	none	2	5	8	3	0.6	0.375	0.4615384615384615	0.5357142857142857
chromothripsis	0.7482689023017883	0.67	representative	none	2	7	4	2	0.2857142857142857	0.5	0.36363636363636365	0.3125
BFB	0.2880496084690094	1.0	representative	none	2	9	10	7	0.7777777777777778	0.7	0.7368421052631577	0.7608695652173914
seismic_amplification	0.6119287014007568	0.67	representative	none	2	5	4	3	0.6	0.75	0.6666666666666665	0.625
