label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.5180838704109192	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769
chromothripsis	0.6591693162918091	0.67	representative	none	4	6	7	4	0.6666666666666666	0.5714285714285714	0.6153846153846153	0.6451612903225806
BFB	0.6188467144966125	0.67	representative	none	2	9	7	6	0.6666666666666666	0.8571428571428571	0.75	0.6976744186046512
seismic_amplification	0.7811529040336609	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783
