split	n_labels	n_predictions	true_predictions	localization_recall	classified_recall	classified_precision	classified_f1	classified_f2	test_sample
train	79	446	73	0.9493670886075949	0.9240506329113924	0.16367713004484305	0.2780952380952381	0.479002624671916	ScaBER
validation	25	67	22	0.92	0.88	0.3283582089552239	0.4782608695652174	0.6586826347305389	ScaBER
test	4	12	4	1.0	1.0	0.3333333333333333	0.5	0.7142857142857143	ScaBER
