label	threshold	scale	region_mode	nms_mode	maximum_per_sample	calls	predictions	true_predictions	recall	precision	f1	f2
ecDNA	0.5254576206207275	0.67	representative	none	2	5	6	3	0.6	0.5	0.5454545454545454	0.5769230769230769
chromothripsis	0.718636155128479	0.67	representative	none	2	7	3	2	0.2857142857142857	0.6666666666666666	0.4	0.3225806451612903
BFB	0.2752164304256439	1.0	representative	none	2	10	8	7	0.7	0.875	0.7777777777777777	0.7291666666666666
seismic_amplification	0.806883692741394	0.67	representative	none	2	5	3	3	0.6	1.0	0.7499999999999999	0.6521739130434783
