split	n_candidates	n_labeled	n_empty	tp	fp	fn	tn	objectness_precision	objectness_recall	objectness_f1	class_exact_match_labeled	class_any_match_labeled
train	336	237	99	229	9	8	90	0.9621848739495799	0.9662447257383966	0.9642105263157894	0.2616033755274262	0.9367088607594937
test	34	29	5	27	0	2	5	1.0	0.9310344827586207	0.9642857142857143	0.3103448275862069	0.8620689655172413
all	370	266	104	256	9	10	95	0.9660377358490566	0.9624060150375939	0.9642184557438794	0.2669172932330827	0.9285714285714286
