split	n_candidates	n_labeled	n_empty	tp	fp	fn	tn	objectness_precision	objectness_recall	objectness_f1	class_exact_match_labeled	class_any_match_labeled	secondary_min	secondary_delta	mean_predicted_labels_labeled	multicall_rate_labeled	mean_extra_labels_labeled	mean_missing_labels_labeled	empty_false_positive_rate	meets_constraints	secondary_objective
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8649789029535865	0.30000001192092896	0.0	1.1772151898734178	0.18565400843881857	0.1350210970464135	0.41350210970464135	0.494949494949495	True	0.8746835443037975
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8649789029535865	0.30000001192092896	0.05000000074505806	1.1772151898734178	0.18565400843881857	0.1350210970464135	0.41350210970464135	0.494949494949495	True	0.8746835443037975
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8649789029535865	0.30000001192092896	0.10000000149011612	1.1772151898734178	0.18565400843881857	0.1350210970464135	0.41350210970464135	0.494949494949495	True	0.8746835443037975
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8649789029535865	0.30000001192092896	0.15000000596046448	1.1645569620253164	0.1729957805907173	0.12658227848101267	0.4177215189873418	0.494949494949495	True	0.8780590717299579
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8649789029535865	0.30000001192092896	0.20000000298023224	1.139240506329114	0.16455696202531644	0.12658227848101267	0.4430379746835443	0.494949494949495	True	0.878902953586498
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8523206751054853	0.30000001192092896	0.25	1.0675105485232068	0.1350210970464135	0.12658227848101267	0.5147679324894515	0.494949494949495	True	0.8691983122362869
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.30000001192092896	0.30000001192092896	1.0379746835443038	0.10548523206751055	0.12236286919831224	0.540084388185654	0.494949494949495	True	0.860548523206751
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.30000001192092896	0.3499999940395355	1.0379746835443038	0.10548523206751055	0.12236286919831224	0.540084388185654	0.494949494949495	True	0.860548523206751
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.30000001192092896	0.4000000059604645	1.029535864978903	0.0970464135021097	0.12236286919831224	0.5485232067510548	0.494949494949495	True	0.8613924050632911
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.30000001192092896	0.44999998807907104	1.0084388185654007	0.0759493670886076	0.12236286919831224	0.569620253164557	0.494949494949495	True	0.8635021097046413
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8396624472573839	0.30000001192092896	0.5	0.9620253164556962	0.029535864978902954	0.12236286919831224	0.6160337552742616	0.494949494949495	True	0.8681434599156117
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8607594936708861	0.3499999940395355	0.0	1.1139240506329113	0.16033755274261605	0.1350210970464135	0.4767932489451477	0.494949494949495	True	0.8729957805907173
secondary_sweep	336	237	99	221	49	16	50	0.8185185185185185	0.9324894514767933	0.8717948717948718	0.17721518987341772	0.8607594936708861	0.3499999940395355	0.05000000074505806	1.1139240506329113	0.16033755274261605	0.1350210970464135	0.4767932489451477	0.494949494949495	True	0.8729957805907173
