objectness_tau	precision	recall	f1	tp	fp	fn	tn
0.05000000074505806	0.7053571428571429	1.0	0.8272251308900525	237	99	0	0
0.05999999865889549	0.7053571428571429	1.0	0.8272251308900525	237	99	0	0
0.07000000029802322	0.7074626865671642	1.0	0.8286713286713288	237	98	0	1
0.07999999821186066	0.7117117117117117	1.0	0.8315789473684211	237	96	0	3
0.09000000357627869	0.7181818181818181	1.0	0.8359788359788359	237	93	0	6
0.10000000149011612	0.7203647416413373	1.0	0.8374558303886926	237	92	0	7
0.10999999940395355	0.7203647416413373	1.0	0.8374558303886926	237	92	0	7
0.11999999731779099	0.7225609756097561	1.0	0.838938053097345	237	91	0	8
0.12999999523162842	0.7247706422018348	1.0	0.8404255319148937	237	90	0	9
0.14000000059604645	0.7292307692307692	1.0	0.8434163701067616	237	88	0	11
0.15000000596046448	0.7337461300309598	1.0	0.8464285714285714	237	86	0	13
0.1599999964237213	0.7383177570093458	1.0	0.8494623655913979	237	84	0	15
0.17000000178813934	0.7383177570093458	1.0	0.8494623655913979	237	84	0	15
0.18000000715255737	0.7452830188679245	1.0	0.854054054054054	237	81	0	18
0.1899999976158142	0.7452830188679245	1.0	0.854054054054054	237	81	0	18
0.20000000298023224	0.75	1.0	0.8571428571428571	237	79	0	20
0.20999999344348907	0.7523809523809524	1.0	0.8586956521739131	237	78	0	21
0.2199999988079071	0.7547770700636943	1.0	0.8602540834845736	237	77	0	22
0.23000000417232513	0.7596153846153846	1.0	0.8633879781420765	237	75	0	24
0.23999999463558197	0.7620578778135049	1.0	0.864963503649635	237	74	0	25
0.25	0.7645161290322581	1.0	0.86654478976234	237	73	0	26
0.25999999046325684	0.7719869706840391	1.0	0.8713235294117647	237	70	0	29
0.27000001072883606	0.7821782178217822	1.0	0.8777777777777778	237	66	0	33
0.2800000011920929	0.8144329896907216	1.0	0.8977272727272727	237	54	0	45
0.28999999165534973	0.8286713286713286	1.0	0.9063097514340344	237	49	0	50
0.30000001192092896	0.8315789473684211	1.0	0.9080459770114944	237	48	0	51
0.3100000023841858	0.8345070422535211	1.0	0.9097888675623801	237	47	0	52
0.3199999928474426	0.8434163701067615	1.0	0.915057915057915	237	44	0	55
0.33000001311302185	0.8434163701067615	1.0	0.915057915057915	237	44	0	55
0.3400000035762787	0.8464285714285714	1.0	0.9168278529980657	237	43	0	56
0.3499999940395355	0.8586956521739131	1.0	0.9239766081871346	237	39	0	60
0.36000001430511475	0.8586956521739131	1.0	0.9239766081871346	237	39	0	60
0.3700000047683716	0.8586956521739131	1.0	0.9239766081871346	237	39	0	60
0.3799999952316284	0.8586956521739131	1.0	0.9239766081871346	237	39	0	60
0.38999998569488525	0.8586956521739131	1.0	0.9239766081871346	237	39	0	60
0.4000000059604645	0.8618181818181818	1.0	0.92578125	237	38	0	61
0.4099999964237213	0.8618181818181818	1.0	0.92578125	237	38	0	61
0.41999998688697815	0.8681318681318682	1.0	0.9294117647058824	237	36	0	63
0.4300000071525574	0.8681318681318682	1.0	0.9294117647058824	237	36	0	63
0.4399999976158142	0.8745387453874539	1.0	0.9330708661417324	237	34	0	65
0.44999998807907104	0.8777777777777778	1.0	0.9349112426035503	237	33	0	66
0.46000000834465027	0.8777777777777778	1.0	0.9349112426035503	237	33	0	66
0.4699999988079071	0.8777777777777778	1.0	0.9349112426035503	237	33	0	66
0.47999998927116394	0.8777777777777778	1.0	0.9349112426035503	237	33	0	66
0.49000000953674316	0.8843283582089553	1.0	0.9386138613861386	237	31	0	68
0.5	0.8843283582089553	1.0	0.9386138613861386	237	31	0	68
0.5099999904632568	0.8876404494382022	1.0	0.9404761904761905	237	30	0	69
0.5199999809265137	0.8943396226415095	1.0	0.9442231075697212	237	28	0	71
0.5299999713897705	0.8943396226415095	1.0	0.9442231075697212	237	28	0	71
0.5400000214576721	0.9011406844106464	1.0	0.9480000000000001	237	26	0	73
0.550000011920929	0.9011406844106464	1.0	0.9480000000000001	237	26	0	73
0.5600000023841858	0.9011406844106464	1.0	0.9480000000000001	237	26	0	73
0.5699999928474426	0.9011406844106464	1.0	0.9480000000000001	237	26	0	73
0.5799999833106995	0.9011406844106464	1.0	0.9480000000000001	237	26	0	73
0.5899999737739563	0.9011406844106464	1.0	0.9480000000000001	237	26	0	73
0.6000000238418579	0.9003831417624522	0.9915611814345991	0.9437751004016064	235	26	2	73
0.6100000143051147	0.9003831417624522	0.9915611814345991	0.9437751004016064	235	26	2	73
0.6200000047683716	0.9003831417624522	0.9915611814345991	0.9437751004016064	235	26	2	73
0.6299999952316284	0.9038461538461539	0.9915611814345991	0.9456740442655935	235	25	2	74
0.6399999856948853	0.9038461538461539	0.9915611814345991	0.9456740442655935	235	25	2	74
0.6499999761581421	0.9073359073359073	0.9915611814345991	0.9475806451612903	235	24	2	75
0.6600000262260437	0.9069767441860465	0.9873417721518988	0.9454545454545454	234	24	3	75
0.6700000166893005	0.9105058365758755	0.9873417721518988	0.9473684210526316	234	23	3	76
0.6800000071525574	0.9105058365758755	0.9873417721518988	0.9473684210526316	234	23	3	76
0.6899999976158142	0.9176470588235294	0.9873417721518988	0.9512195121951219	234	21	3	78
0.699999988079071	0.9176470588235294	0.9873417721518988	0.9512195121951219	234	21	3	78
0.7099999785423279	0.9209486166007905	0.9831223628691983	0.9510204081632653	233	20	4	79
0.7200000286102295	0.9282868525896414	0.9831223628691983	0.9549180327868853	233	18	4	81
0.7300000190734863	0.9282868525896414	0.9831223628691983	0.9549180327868853	233	18	4	81
0.7400000095367432	0.932	0.9831223628691983	0.9568788501026694	233	17	4	82
0.75	0.9317269076305221	0.9789029535864979	0.9547325102880658	232	17	5	82
0.7599999904632568	0.9352226720647774	0.9746835443037974	0.9545454545454546	231	16	6	83
0.7699999809265137	0.9390243902439024	0.9746835443037974	0.9565217391304348	231	15	6	84
0.7799999713897705	0.9390243902439024	0.9746835443037974	0.9565217391304348	231	15	6	84
0.7900000214576721	0.9428571428571428	0.9746835443037974	0.95850622406639	231	14	6	85
0.800000011920929	0.9467213114754098	0.9746835443037974	0.9604989604989604	231	13	6	86
0.8100000023841858	0.9506172839506173	0.9746835443037974	0.9625	231	12	6	87
0.8199999928474426	0.9585062240663901	0.9746835443037974	0.9665271966527197	231	10	6	89
0.8299999833106995	0.9585062240663901	0.9746835443037974	0.9665271966527197	231	10	6	89
0.8399999737739563	0.9583333333333334	0.9704641350210971	0.9643605870020965	230	10	7	89
0.8500000238418579	0.9581589958158996	0.9662447257383966	0.9621848739495799	229	10	8	89
0.8600000143051147	0.9621848739495799	0.9662447257383966	0.9642105263157894	229	9	8	90
0.8700000047683716	0.9621848739495799	0.9662447257383966	0.9642105263157894	229	9	8	90
0.8799999952316284	0.9621848739495799	0.9662447257383966	0.9642105263157894	229	9	8	90
0.8899999856948853	0.9659574468085106	0.9578059071729957	0.9618644067796609	227	8	10	91
0.8999999761581421	0.9658119658119658	0.9535864978902954	0.9596602972399151	226	8	11	91
0.9100000262260437	0.9699570815450643	0.9535864978902954	0.9617021276595744	226	7	11	92
0.9200000166893005	0.9695652173913043	0.9409282700421941	0.9550321199143469	223	7	14	92
0.9300000071525574	0.9736842105263158	0.9367088607594937	0.9548387096774194	222	6	15	93
0.9399999976158142	0.9864864864864865	0.9240506329113924	0.954248366013072	219	3	18	96
0.949999988079071	0.9908256880733946	0.9113924050632911	0.9494505494505495	216	2	21	97
