objectness_tau	precision	recall	f1	tp	fp	fn	tn
0.05000000074505806	0.7053571428571429	1.0	0.8272251308900525	237	99	0	0
0.05999999865889549	0.7053571428571429	1.0	0.8272251308900525	237	99	0	0
0.07000000029802322	0.7074626865671642	1.0	0.8286713286713288	237	98	0	1
0.07999999821186066	0.7074626865671642	1.0	0.8286713286713288	237	98	0	1
0.09000000357627869	0.7074626865671642	1.0	0.8286713286713288	237	98	0	1
0.10000000149011612	0.7087087087087087	0.9957805907172996	0.8280701754385965	236	97	1	2
0.10999999940395355	0.7108433734939759	0.9957805907172996	0.8295254833040421	236	96	1	3
0.11999999731779099	0.7129909365558912	0.9957805907172996	0.8309859154929577	236	95	1	4
0.12999999523162842	0.7151515151515152	0.9957805907172996	0.832451499118166	236	94	1	5
0.14000000059604645	0.7151515151515152	0.9957805907172996	0.832451499118166	236	94	1	5
0.15000000596046448	0.7195121951219512	0.9957805907172996	0.8353982300884956	236	92	1	7
0.1599999964237213	0.7239263803680982	0.9957805907172996	0.8383658969804618	236	90	1	9
0.17000000178813934	0.7239263803680982	0.9957805907172996	0.8383658969804618	236	90	1	9
0.18000000715255737	0.7275541795665634	0.9915611814345991	0.8392857142857142	235	88	2	11
0.1899999976158142	0.7298136645962733	0.9915611814345991	0.8407871198568873	235	87	2	12
0.20000000298023224	0.7320872274143302	0.9915611814345991	0.8422939068100358	235	86	2	13
0.20999999344348907	0.7389937106918238	0.9915611814345991	0.8468468468468467	235	83	2	16
0.2199999988079071	0.7413249211356467	0.9915611814345991	0.8483754512635381	235	82	2	17
0.23000000417232513	0.7436708860759493	0.9915611814345991	0.8499095840867993	235	81	2	18
0.23999999463558197	0.7436708860759493	0.9915611814345991	0.8499095840867993	235	81	2	18
0.25	0.7436708860759493	0.9915611814345991	0.8499095840867993	235	81	2	18
0.25999999046325684	0.7436708860759493	0.9915611814345991	0.8499095840867993	235	81	2	18
0.27000001072883606	0.7436708860759493	0.9915611814345991	0.8499095840867993	235	81	2	18
0.2800000011920929	0.7428571428571429	0.9873417721518988	0.8478260869565218	234	81	3	18
0.28999999165534973	0.7452229299363057	0.9873417721518988	0.8493647912885662	234	80	3	19
0.30000001192092896	0.7452229299363057	0.9873417721518988	0.8493647912885662	234	80	3	19
0.3100000023841858	0.7452229299363057	0.9873417721518988	0.8493647912885662	234	80	3	19
0.3199999928474426	0.7476038338658147	0.9873417721518988	0.8509090909090911	234	79	3	20
0.33000001311302185	0.7476038338658147	0.9873417721518988	0.8509090909090911	234	79	3	20
0.3400000035762787	0.7476038338658147	0.9873417721518988	0.8509090909090911	234	79	3	20
0.3499999940395355	0.7476038338658147	0.9873417721518988	0.8509090909090911	234	79	3	20
0.36000001430511475	0.7476038338658147	0.9873417721518988	0.8509090909090911	234	79	3	20
0.3700000047683716	0.7476038338658147	0.9873417721518988	0.8509090909090911	234	79	3	20
0.3799999952316284	0.7476038338658147	0.9873417721518988	0.8509090909090911	234	79	3	20
0.38999998569488525	0.75	0.9873417721518988	0.8524590163934427	234	78	3	21
0.4000000059604645	0.752411575562701	0.9873417721518988	0.854014598540146	234	77	3	22
0.4099999964237213	0.7548387096774194	0.9873417721518988	0.8555758683729434	234	76	3	23
0.41999998688697815	0.7548387096774194	0.9873417721518988	0.8555758683729434	234	76	3	23
0.4300000071525574	0.7597402597402597	0.9873417721518988	0.8587155963302753	234	74	3	25
0.4399999976158142	0.762214983713355	0.9873417721518988	0.8602941176470589	234	73	3	26
0.44999998807907104	0.762214983713355	0.9873417721518988	0.8602941176470589	234	73	3	26
0.46000000834465027	0.7647058823529411	0.9873417721518988	0.861878453038674	234	72	3	27
0.4699999988079071	0.7647058823529411	0.9873417721518988	0.861878453038674	234	72	3	27
0.47999998927116394	0.7672131147540984	0.9873417721518988	0.8634686346863468	234	71	3	28
0.49000000953674316	0.768976897689769	0.9831223628691983	0.8629629629629629	233	70	4	29
0.5	0.768976897689769	0.9831223628691983	0.8629629629629629	233	70	4	29
0.5099999904632568	0.768976897689769	0.9831223628691983	0.8629629629629629	233	70	4	29
0.5199999809265137	0.7682119205298014	0.9789029535864979	0.8608534322820037	232	70	5	29
0.5299999713897705	0.7674418604651163	0.9746835443037974	0.858736059479554	231	70	6	29
0.5400000214576721	0.77	0.9746835443037974	0.8603351955307262	231	69	6	30
0.550000011920929	0.7725752508361204	0.9746835443037974	0.8619402985074628	231	68	6	31
0.5600000023841858	0.7718120805369127	0.9704641350210971	0.8598130841121495	230	68	7	31
0.5699999928474426	0.7718120805369127	0.9704641350210971	0.8598130841121495	230	68	7	31
0.5799999833106995	0.7718120805369127	0.9704641350210971	0.8598130841121495	230	68	7	31
0.5899999737739563	0.7718120805369127	0.9704641350210971	0.8598130841121495	230	68	7	31
0.6000000238418579	0.7718120805369127	0.9704641350210971	0.8598130841121495	230	68	7	31
0.6100000143051147	0.7718120805369127	0.9704641350210971	0.8598130841121495	230	68	7	31
0.6200000047683716	0.7710437710437711	0.9662447257383966	0.8576779026217228	229	68	8	31
0.6299999952316284	0.7710437710437711	0.9662447257383966	0.8576779026217228	229	68	8	31
0.6399999856948853	0.7789115646258503	0.9662447257383966	0.8625235404896421	229	65	8	34
0.6499999761581421	0.7789115646258503	0.9662447257383966	0.8625235404896421	229	65	8	34
0.6600000262260437	0.7789115646258503	0.9662447257383966	0.8625235404896421	229	65	8	34
0.6700000166893005	0.7789115646258503	0.9662447257383966	0.8625235404896421	229	65	8	34
0.6800000071525574	0.7789115646258503	0.9662447257383966	0.8625235404896421	229	65	8	34
0.6899999976158142	0.7789115646258503	0.9662447257383966	0.8625235404896421	229	65	8	34
0.699999988079071	0.7789115646258503	0.9662447257383966	0.8625235404896421	229	65	8	34
0.7099999785423279	0.7815699658703071	0.9662447257383966	0.8641509433962264	229	64	8	35
0.7200000286102295	0.7835051546391752	0.9620253164556962	0.8636363636363636	228	63	9	36
0.7300000190734863	0.7835051546391752	0.9620253164556962	0.8636363636363636	228	63	9	36
0.7400000095367432	0.7862068965517242	0.9620253164556962	0.8652751423149906	228	62	9	37
0.75	0.7862068965517242	0.9620253164556962	0.8652751423149906	228	62	9	37
0.7599999904632568	0.7889273356401384	0.9620253164556962	0.8669201520912548	228	61	9	38
0.7699999809265137	0.7909407665505227	0.9578059071729957	0.8664122137404581	227	60	10	39
0.7799999713897705	0.7964912280701755	0.9578059071729957	0.8697318007662835	227	58	10	41
0.7900000214576721	0.7992957746478874	0.9578059071729957	0.8714011516314779	227	57	10	42
0.800000011920929	0.7992957746478874	0.9578059071729957	0.8714011516314779	227	57	10	42
0.8100000023841858	0.7992957746478874	0.9578059071729957	0.8714011516314779	227	57	10	42
0.8199999928474426	0.7992957746478874	0.9578059071729957	0.8714011516314779	227	57	10	42
0.8299999833106995	0.7992957746478874	0.9578059071729957	0.8714011516314779	227	57	10	42
0.8399999737739563	0.7985865724381626	0.9535864978902954	0.8692307692307691	226	57	11	42
0.8500000238418579	0.800711743772242	0.9493670886075949	0.8687258687258687	225	56	12	43
0.8600000143051147	0.8028673835125448	0.9451476793248945	0.8682170542635659	224	55	13	44
0.8700000047683716	0.8028673835125448	0.9451476793248945	0.8682170542635659	224	55	13	44
0.8799999952316284	0.8028673835125448	0.9451476793248945	0.8682170542635659	224	55	13	44
0.8899999856948853	0.8079710144927537	0.9409282700421941	0.8693957115009747	223	53	14	46
0.8999999761581421	0.8079710144927537	0.9409282700421941	0.8693957115009747	223	53	14	46
0.9100000262260437	0.8095238095238095	0.9324894514767933	0.8666666666666666	221	52	16	47
0.9200000166893005	0.8104089219330854	0.919831223628692	0.8616600790513833	218	51	19	48
0.9300000071525574	0.8226415094339623	0.919831223628692	0.8685258964143426	218	47	19	52
0.9399999976158142	0.8365758754863813	0.9071729957805907	0.8704453441295548	215	42	22	57
0.949999988079071	0.8473895582329317	0.890295358649789	0.8683127572016462	211	38	26	61
