class_name	subtype_level	subtype_value_min	subtype_tau	precision	recall	f1	tp	fp	fn	tn
Seismic_Amplification	noncanonical	0.5	0.05000000074505806	0.5401069518716578	1.0	0.701388888888889	101	86	0	50
Seismic_Amplification	noncanonical	0.5	0.05999999865889549	0.554945054945055	1.0	0.7137809187279153	101	81	0	55
Seismic_Amplification	noncanonical	0.5	0.07000000029802322	0.608433734939759	1.0	0.7565543071161048	101	65	0	71
Seismic_Amplification	noncanonical	0.5	0.07999999821186066	0.6601307189542484	1.0	0.7952755905511811	101	52	0	84
Seismic_Amplification	noncanonical	0.5	0.09000000357627869	0.6733333333333333	1.0	0.8047808764940239	101	49	0	87
Seismic_Amplification	noncanonical	0.5	0.10000000149011612	0.678082191780822	0.9801980198019802	0.8016194331983806	99	47	2	89
Seismic_Amplification	noncanonical	0.5	0.10999999940395355	0.7021276595744681	0.9801980198019802	0.8181818181818182	99	42	2	94
Seismic_Amplification	noncanonical	0.5	0.11999999731779099	0.7388059701492538	0.9801980198019802	0.8425531914893617	99	35	2	101
Seismic_Amplification	noncanonical	0.5	0.12999999523162842	0.7557251908396947	0.9801980198019802	0.853448275862069	99	32	2	104
Seismic_Amplification	noncanonical	0.5	0.14000000059604645	0.7857142857142857	0.9801980198019802	0.8722466960352424	99	27	2	109
Seismic_Amplification	noncanonical	0.5	0.15000000596046448	0.7967479674796748	0.9702970297029703	0.8749999999999999	98	25	3	111
Seismic_Amplification	noncanonical	0.5	0.1599999964237213	0.8099173553719008	0.9702970297029703	0.8828828828828829	98	23	3	113
Seismic_Amplification	noncanonical	0.5	0.17000000178813934	0.8166666666666667	0.9702970297029703	0.8868778280542986	98	22	3	114
Seismic_Amplification	noncanonical	0.5	0.18000000715255737	0.8151260504201681	0.9603960396039604	0.8818181818181818	97	22	4	114
Seismic_Amplification	noncanonical	0.5	0.1899999976158142	0.8421052631578947	0.9504950495049505	0.8930232558139534	96	18	5	118
Seismic_Amplification	noncanonical	0.5	0.20000000298023224	0.8407079646017699	0.9405940594059405	0.8878504672897195	95	18	6	118
Seismic_Amplification	noncanonical	0.5	0.20999999344348907	0.8558558558558559	0.9405940594059405	0.8962264150943395	95	16	6	120
Seismic_Amplification	noncanonical	0.5	0.2199999988079071	0.8598130841121495	0.9108910891089109	0.8846153846153846	92	15	9	121
Seismic_Amplification	noncanonical	0.5	0.23000000417232513	0.8679245283018868	0.9108910891089109	0.8888888888888888	92	14	9	122
Seismic_Amplification	noncanonical	0.5	0.23999999463558197	0.8640776699029126	0.8811881188118812	0.8725490196078431	89	14	12	122
Seismic_Amplification	noncanonical	0.5	0.25	0.8640776699029126	0.8811881188118812	0.8725490196078431	89	14	12	122
Seismic_Amplification	noncanonical	0.5	0.25999999046325684	0.8811881188118812	0.8811881188118812	0.8811881188118812	89	12	12	124
Seismic_Amplification	noncanonical	0.5	0.27000001072883606	0.89	0.8811881188118812	0.8855721393034827	89	11	12	125
Seismic_Amplification	noncanonical	0.5	0.2800000011920929	0.89	0.8811881188118812	0.8855721393034827	89	11	12	125
Seismic_Amplification	noncanonical	0.5	0.28999999165534973	0.8877551020408163	0.8613861386138614	0.8743718592964823	87	11	14	125
Seismic_Amplification	noncanonical	0.5	0.30000001192092896	0.8947368421052632	0.8415841584158416	0.8673469387755102	85	10	16	126
Seismic_Amplification	noncanonical	0.5	0.3100000023841858	0.8947368421052632	0.8415841584158416	0.8673469387755102	85	10	16	126
Seismic_Amplification	noncanonical	0.5	0.3199999928474426	0.8947368421052632	0.8415841584158416	0.8673469387755102	85	10	16	126
Seismic_Amplification	noncanonical	0.5	0.33000001311302185	0.8947368421052632	0.8415841584158416	0.8673469387755102	85	10	16	126
Seismic_Amplification	noncanonical	0.5	0.3400000035762787	0.9139784946236559	0.8415841584158416	0.8762886597938144	85	8	16	128
Seismic_Amplification	noncanonical	0.5	0.3499999940395355	0.9230769230769231	0.8316831683168316	0.8749999999999999	84	7	17	129
Seismic_Amplification	noncanonical	0.5	0.36000001430511475	0.9318181818181818	0.8118811881188119	0.8677248677248677	82	6	19	130
Seismic_Amplification	noncanonical	0.5	0.3700000047683716	0.9318181818181818	0.8118811881188119	0.8677248677248677	82	6	19	130
Seismic_Amplification	noncanonical	0.5	0.3799999952316284	0.9310344827586207	0.801980198019802	0.8617021276595743	81	6	20	130
Seismic_Amplification	noncanonical	0.5	0.38999998569488525	0.9404761904761905	0.7821782178217822	0.8540540540540541	79	5	22	131
Seismic_Amplification	noncanonical	0.5	0.4000000059604645	0.9518072289156626	0.7821782178217822	0.858695652173913	79	4	22	132
Seismic_Amplification	noncanonical	0.5	0.4099999964237213	0.9518072289156626	0.7821782178217822	0.858695652173913	79	4	22	132
Seismic_Amplification	noncanonical	0.5	0.41999998688697815	0.9493670886075949	0.7425742574257426	0.8333333333333333	75	4	26	132
Seismic_Amplification	noncanonical	0.5	0.4300000071525574	0.9605263157894737	0.7227722772277227	0.8248587570621468	73	3	28	133
Seismic_Amplification	noncanonical	0.5	0.4399999976158142	0.9726027397260274	0.7029702970297029	0.8160919540229884	71	2	30	134
Seismic_Amplification	noncanonical	0.5	0.44999998807907104	0.9722222222222222	0.693069306930693	0.8092485549132948	70	2	31	134
Seismic_Amplification	noncanonical	0.5	0.46000000834465027	0.971830985915493	0.6831683168316832	0.8023255813953488	69	2	32	134
Seismic_Amplification	noncanonical	0.5	0.4699999988079071	0.971830985915493	0.6831683168316832	0.8023255813953488	69	2	32	134
Seismic_Amplification	noncanonical	0.5	0.47999998927116394	0.9857142857142858	0.6831683168316832	0.8070175438596491	69	1	32	135
Seismic_Amplification	noncanonical	0.5	0.49000000953674316	1.0	0.6534653465346535	0.7904191616766467	66	0	35	136
Seismic_Amplification	noncanonical	0.5	0.5	1.0	0.6435643564356436	0.7831325301204819	65	0	36	136
Seismic_Amplification	noncanonical	0.5	0.5099999904632568	1.0	0.6435643564356436	0.7831325301204819	65	0	36	136
Seismic_Amplification	noncanonical	0.5	0.5199999809265137	1.0	0.6336633663366337	0.7757575757575758	64	0	37	136
Seismic_Amplification	noncanonical	0.5	0.5299999713897705	1.0	0.6138613861386139	0.7607361963190183	62	0	39	136
Seismic_Amplification	noncanonical	0.5	0.5400000214576721	1.0	0.594059405940594	0.7453416149068323	60	0	41	136
Seismic_Amplification	noncanonical	0.5	0.550000011920929	1.0	0.5643564356435643	0.7215189873417721	57	0	44	136
Seismic_Amplification	noncanonical	0.5	0.5600000023841858	1.0	0.5445544554455446	0.7051282051282052	55	0	46	136
Seismic_Amplification	noncanonical	0.5	0.5699999928474426	1.0	0.5346534653465347	0.6967741935483871	54	0	47	136
Seismic_Amplification	noncanonical	0.5	0.5799999833106995	1.0	0.5346534653465347	0.6967741935483871	54	0	47	136
Seismic_Amplification	noncanonical	0.5	0.5899999737739563	1.0	0.5346534653465347	0.6967741935483871	54	0	47	136
Seismic_Amplification	noncanonical	0.5	0.6000000238418579	1.0	0.48514851485148514	0.6533333333333333	49	0	52	136
Seismic_Amplification	noncanonical	0.5	0.6100000143051147	1.0	0.48514851485148514	0.6533333333333333	49	0	52	136
Seismic_Amplification	noncanonical	0.5	0.6200000047683716	1.0	0.46534653465346537	0.6351351351351352	47	0	54	136
Seismic_Amplification	noncanonical	0.5	0.6299999952316284	1.0	0.45544554455445546	0.6258503401360545	46	0	55	136
Seismic_Amplification	noncanonical	0.5	0.6399999856948853	1.0	0.4158415841584158	0.5874125874125874	42	0	59	136
Seismic_Amplification	noncanonical	0.5	0.6499999761581421	1.0	0.40594059405940597	0.5774647887323945	41	0	60	136
Seismic_Amplification	noncanonical	0.5	0.6600000262260437	1.0	0.3465346534653465	0.5147058823529412	35	0	66	136
Seismic_Amplification	noncanonical	0.5	0.6700000166893005	1.0	0.31683168316831684	0.48120300751879697	32	0	69	136
Seismic_Amplification	noncanonical	0.5	0.6800000071525574	1.0	0.3069306930693069	0.46969696969696967	31	0	70	136
Seismic_Amplification	noncanonical	0.5	0.6899999976158142	1.0	0.26732673267326734	0.421875	27	0	74	136
Seismic_Amplification	noncanonical	0.5	0.699999988079071	1.0	0.25742574257425743	0.4094488188976378	26	0	75	136
Seismic_Amplification	noncanonical	0.5	0.7099999785423279	1.0	0.1782178217821782	0.3025210084033613	18	0	83	136
Seismic_Amplification	noncanonical	0.5	0.7200000286102295	1.0	0.16831683168316833	0.288135593220339	17	0	84	136
Seismic_Amplification	noncanonical	0.5	0.7300000190734863	1.0	0.13861386138613863	0.2434782608695652	14	0	87	136
Seismic_Amplification	noncanonical	0.5	0.7400000095367432	1.0	0.13861386138613863	0.2434782608695652	14	0	87	136
Seismic_Amplification	noncanonical	0.5	0.75	1.0	0.09900990099009901	0.18018018018018017	10	0	91	136
Seismic_Amplification	noncanonical	0.5	0.7599999904632568	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	noncanonical	0.5	0.7699999809265137	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	noncanonical	0.5	0.7799999713897705	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	noncanonical	0.5	0.7900000214576721	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	noncanonical	0.5	0.800000011920929	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	noncanonical	0.5	0.8100000023841858	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	noncanonical	0.5	0.8199999928474426	1.0	0.0594059405940594	0.11214953271028036	6	0	95	136
Seismic_Amplification	noncanonical	0.5	0.8299999833106995	1.0	0.04950495049504951	0.09433962264150944	5	0	96	136
Seismic_Amplification	noncanonical	0.5	0.8399999737739563	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	noncanonical	0.5	0.8500000238418579	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	noncanonical	0.5	0.8600000143051147	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	noncanonical	0.5	0.8700000047683716	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	noncanonical	0.5	0.8799999952316284	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	noncanonical	0.5	0.8899999856948853	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	noncanonical	0.5	0.8999999761581421	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	noncanonical	0.5	0.9100000262260437	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
Seismic_Amplification	noncanonical	0.5	0.9200000166893005	1.0	0.019801980198019802	0.038834951456310676	2	0	99	136
