split	class_name	support	predicted	tp	fp	fn	precision	recall	f1
logo	ecDNA	25	25	21	4	4	0.84	0.84	0.8399999999999999
logo	Seismic_Amplification	101	137	88	49	13	0.6423357664233577	0.8712871287128713	0.7394957983193277
logo	chromothripsis	74	74	55	19	19	0.7432432432432432	0.7432432432432432	0.7432432432432431
logo	BFB	145	83	76	7	69	0.9156626506024096	0.5241379310344828	0.6666666666666667
