class_name	type_tau	precision	recall	f1	tp	fp	fn	tn
ecDNA	0.05000000074505806	0.1984126984126984	1.0	0.3311258278145695	25	101	0	111
ecDNA	0.05999999865889549	0.21551724137931033	1.0	0.3546099290780142	25	91	0	121
ecDNA	0.07000000029802322	0.24509803921568626	1.0	0.39370078740157477	25	77	0	135
ecDNA	0.07999999821186066	0.2604166666666667	1.0	0.4132231404958678	25	71	0	141
ecDNA	0.09000000357627869	0.27472527472527475	1.0	0.4310344827586208	25	66	0	146
ecDNA	0.10000000149011612	0.27058823529411763	0.92	0.41818181818181815	23	62	2	150
ecDNA	0.10999999940395355	0.2875	0.92	0.4380952380952381	23	57	2	155
ecDNA	0.11999999731779099	0.2875	0.92	0.4380952380952381	23	57	2	155
ecDNA	0.12999999523162842	0.2987012987012987	0.92	0.4509803921568628	23	54	2	158
ecDNA	0.14000000059604645	0.323943661971831	0.92	0.4791666666666667	23	48	2	164
ecDNA	0.15000000596046448	0.34328358208955223	0.92	0.5	23	44	2	168
ecDNA	0.1599999964237213	0.359375	0.92	0.5168539325842697	23	41	2	171
ecDNA	0.17000000178813934	0.39655172413793105	0.92	0.5542168674698796	23	35	2	177
ecDNA	0.18000000715255737	0.40350877192982454	0.92	0.5609756097560975	23	34	2	178
ecDNA	0.1899999976158142	0.42592592592592593	0.92	0.5822784810126582	23	31	2	181
ecDNA	0.20000000298023224	0.4339622641509434	0.92	0.5897435897435898	23	30	2	182
ecDNA	0.20999999344348907	0.46	0.92	0.6133333333333333	23	27	2	185
ecDNA	0.2199999988079071	0.4791666666666667	0.92	0.6301369863013699	23	25	2	187
ecDNA	0.23000000417232513	0.4791666666666667	0.92	0.6301369863013699	23	25	2	187
ecDNA	0.23999999463558197	0.5	0.92	0.647887323943662	23	23	2	189
ecDNA	0.25	0.5111111111111111	0.92	0.6571428571428571	23	22	2	190
ecDNA	0.25999999046325684	0.5348837209302325	0.92	0.6764705882352942	23	20	2	192
ecDNA	0.27000001072883606	0.5348837209302325	0.92	0.6764705882352942	23	20	2	192
ecDNA	0.2800000011920929	0.5609756097560976	0.92	0.6969696969696971	23	18	2	194
ecDNA	0.28999999165534973	0.5609756097560976	0.92	0.6969696969696971	23	18	2	194
ecDNA	0.30000001192092896	0.5609756097560976	0.92	0.6969696969696971	23	18	2	194
ecDNA	0.3100000023841858	0.6216216216216216	0.92	0.7419354838709677	23	14	2	198
ecDNA	0.3199999928474426	0.6571428571428571	0.92	0.7666666666666667	23	12	2	200
ecDNA	0.33000001311302185	0.696969696969697	0.92	0.793103448275862	23	10	2	202
ecDNA	0.3400000035762787	0.696969696969697	0.92	0.793103448275862	23	10	2	202
ecDNA	0.3499999940395355	0.696969696969697	0.92	0.793103448275862	23	10	2	202
ecDNA	0.36000001430511475	0.696969696969697	0.92	0.793103448275862	23	10	2	202
ecDNA	0.3700000047683716	0.696969696969697	0.92	0.793103448275862	23	10	2	202
ecDNA	0.3799999952316284	0.696969696969697	0.92	0.793103448275862	23	10	2	202
ecDNA	0.38999998569488525	0.71875	0.92	0.8070175438596492	23	9	2	203
ecDNA	0.4000000059604645	0.71875	0.92	0.8070175438596492	23	9	2	203
ecDNA	0.4099999964237213	0.7419354838709677	0.92	0.8214285714285714	23	8	2	204
ecDNA	0.41999998688697815	0.7419354838709677	0.92	0.8214285714285714	23	8	2	204
ecDNA	0.4300000071525574	0.7419354838709677	0.92	0.8214285714285714	23	8	2	204
ecDNA	0.4399999976158142	0.7419354838709677	0.92	0.8214285714285714	23	8	2	204
ecDNA	0.44999998807907104	0.7419354838709677	0.92	0.8214285714285714	23	8	2	204
ecDNA	0.46000000834465027	0.7419354838709677	0.92	0.8214285714285714	23	8	2	204
ecDNA	0.4699999988079071	0.7333333333333333	0.88	0.8	22	8	3	204
ecDNA	0.47999998927116394	0.7333333333333333	0.88	0.8	22	8	3	204
ecDNA	0.49000000953674316	0.7333333333333333	0.88	0.8	22	8	3	204
ecDNA	0.5	0.7333333333333333	0.88	0.8	22	8	3	204
ecDNA	0.5099999904632568	0.7333333333333333	0.88	0.8	22	8	3	204
ecDNA	0.5199999809265137	0.7333333333333333	0.88	0.8	22	8	3	204
ecDNA	0.5299999713897705	0.7333333333333333	0.88	0.8	22	8	3	204
ecDNA	0.5400000214576721	0.7333333333333333	0.88	0.8	22	8	3	204
ecDNA	0.550000011920929	0.7333333333333333	0.88	0.8	22	8	3	204
ecDNA	0.5600000023841858	0.7333333333333333	0.88	0.8	22	8	3	204
ecDNA	0.5699999928474426	0.7333333333333333	0.88	0.8	22	8	3	204
ecDNA	0.5799999833106995	0.7333333333333333	0.88	0.8	22	8	3	204
ecDNA	0.5899999737739563	0.7586206896551724	0.88	0.8148148148148148	22	7	3	205
ecDNA	0.6000000238418579	0.7857142857142857	0.88	0.830188679245283	22	6	3	206
ecDNA	0.6100000143051147	0.7777777777777778	0.84	0.8076923076923077	21	6	4	206
ecDNA	0.6200000047683716	0.8076923076923077	0.84	0.8235294117647058	21	5	4	207
ecDNA	0.6299999952316284	0.8076923076923077	0.84	0.8235294117647058	21	5	4	207
