class_name	has_subtypes	noncanonicalB_threshold	noncanonical_threshold	canonical_threshold	type_threshold
ecDNA	False	0.6399999856948853	1.01	1.01	0.6399999856948853
Seismic_Amplification	True	0.20999999344348907	0.20999999344348907	0.49000000953674316	0.20999999344348907
chromothripsis	True	0.23000000417232513	0.28999999165534973	0.46000000834465027	0.23000000417232513
BFB	True	0.11999999731779099	0.25999999046325684	0.25999999046325684	0.11999999731779099
