class_name	type_tau	precision	recall	f1	tp	fp	fn	tn
ecDNA	0.05000000074505806	0.2032520325203252	1.0	0.3378378378378379	25	98	0	114
ecDNA	0.05999999865889549	0.22123893805309736	1.0	0.36231884057971014	25	88	0	124
ecDNA	0.07000000029802322	0.25510204081632654	1.0	0.40650406504065045	25	73	0	139
ecDNA	0.07999999821186066	0.26595744680851063	1.0	0.42016806722689076	25	69	0	143
ecDNA	0.09000000357627869	0.2976190476190476	1.0	0.4587155963302752	25	59	0	153
ecDNA	0.10000000149011612	0.3125	1.0	0.47619047619047616	25	55	0	157
ecDNA	0.10999999940395355	0.32051282051282054	1.0	0.48543689320388356	25	53	0	159
ecDNA	0.11999999731779099	0.32894736842105265	1.0	0.4950495049504951	25	51	0	161
ecDNA	0.12999999523162842	0.35714285714285715	1.0	0.5263157894736842	25	45	0	167
ecDNA	0.14000000059604645	0.390625	1.0	0.5617977528089888	25	39	0	173
ecDNA	0.15000000596046448	0.423728813559322	1.0	0.5952380952380952	25	34	0	178
ecDNA	0.1599999964237213	0.43103448275862066	1.0	0.6024096385542169	25	33	0	179
ecDNA	0.17000000178813934	0.43859649122807015	1.0	0.6097560975609756	25	32	0	180
ecDNA	0.18000000715255737	0.44642857142857145	1.0	0.617283950617284	25	31	0	181
ecDNA	0.1899999976158142	0.45454545454545453	1.0	0.625	25	30	0	182
ecDNA	0.20000000298023224	0.46296296296296297	1.0	0.6329113924050632	25	29	0	183
ecDNA	0.20999999344348907	0.5208333333333334	1.0	0.684931506849315	25	23	0	189
ecDNA	0.2199999988079071	0.5208333333333334	1.0	0.684931506849315	25	23	0	189
ecDNA	0.23000000417232513	0.5681818181818182	1.0	0.7246376811594203	25	19	0	193
ecDNA	0.23999999463558197	0.6410256410256411	1.0	0.7812500000000001	25	14	0	198
ecDNA	0.25	0.6410256410256411	1.0	0.7812500000000001	25	14	0	198
ecDNA	0.25999999046325684	0.6410256410256411	1.0	0.7812500000000001	25	14	0	198
ecDNA	0.27000001072883606	0.6578947368421053	1.0	0.7936507936507937	25	13	0	199
ecDNA	0.2800000011920929	0.6578947368421053	1.0	0.7936507936507937	25	13	0	199
ecDNA	0.28999999165534973	0.6944444444444444	1.0	0.819672131147541	25	11	0	201
ecDNA	0.30000001192092896	0.6944444444444444	1.0	0.819672131147541	25	11	0	201
ecDNA	0.3100000023841858	0.6944444444444444	1.0	0.819672131147541	25	11	0	201
ecDNA	0.3199999928474426	0.7142857142857143	1.0	0.8333333333333333	25	10	0	202
ecDNA	0.33000001311302185	0.7352941176470589	1.0	0.8474576271186441	25	9	0	203
ecDNA	0.3400000035762787	0.7352941176470589	1.0	0.8474576271186441	25	9	0	203
ecDNA	0.3499999940395355	0.7575757575757576	1.0	0.8620689655172413	25	8	0	204
ecDNA	0.36000001430511475	0.7575757575757576	1.0	0.8620689655172413	25	8	0	204
ecDNA	0.3700000047683716	0.7575757575757576	1.0	0.8620689655172413	25	8	0	204
ecDNA	0.3799999952316284	0.7575757575757576	1.0	0.8620689655172413	25	8	0	204
ecDNA	0.38999998569488525	0.8064516129032258	1.0	0.8928571428571428	25	6	0	206
ecDNA	0.4000000059604645	0.8064516129032258	1.0	0.8928571428571428	25	6	0	206
ecDNA	0.4099999964237213	0.8064516129032258	1.0	0.8928571428571428	25	6	0	206
ecDNA	0.41999998688697815	0.8064516129032258	1.0	0.8928571428571428	25	6	0	206
ecDNA	0.4300000071525574	0.8064516129032258	1.0	0.8928571428571428	25	6	0	206
ecDNA	0.4399999976158142	0.8064516129032258	1.0	0.8928571428571428	25	6	0	206
ecDNA	0.44999998807907104	0.8333333333333334	1.0	0.9090909090909091	25	5	0	207
ecDNA	0.46000000834465027	0.8333333333333334	1.0	0.9090909090909091	25	5	0	207
ecDNA	0.4699999988079071	0.8333333333333334	1.0	0.9090909090909091	25	5	0	207
ecDNA	0.47999998927116394	0.8333333333333334	1.0	0.9090909090909091	25	5	0	207
ecDNA	0.49000000953674316	0.8333333333333334	1.0	0.9090909090909091	25	5	0	207
ecDNA	0.5	0.8333333333333334	1.0	0.9090909090909091	25	5	0	207
ecDNA	0.5099999904632568	0.8333333333333334	1.0	0.9090909090909091	25	5	0	207
ecDNA	0.5199999809265137	0.8333333333333334	1.0	0.9090909090909091	25	5	0	207
ecDNA	0.5299999713897705	0.8333333333333334	1.0	0.9090909090909091	25	5	0	207
ecDNA	0.5400000214576721	0.8333333333333334	1.0	0.9090909090909091	25	5	0	207
ecDNA	0.550000011920929	0.8333333333333334	1.0	0.9090909090909091	25	5	0	207
ecDNA	0.5600000023841858	0.8333333333333334	1.0	0.9090909090909091	25	5	0	207
ecDNA	0.5699999928474426	0.8620689655172413	1.0	0.9259259259259259	25	4	0	208
ecDNA	0.5799999833106995	0.8620689655172413	1.0	0.9259259259259259	25	4	0	208
ecDNA	0.5899999737739563	0.8620689655172413	1.0	0.9259259259259259	25	4	0	208
ecDNA	0.6000000238418579	0.8620689655172413	1.0	0.9259259259259259	25	4	0	208
ecDNA	0.6100000143051147	0.8620689655172413	1.0	0.9259259259259259	25	4	0	208
ecDNA	0.6200000047683716	0.8928571428571429	1.0	0.9433962264150945	25	3	0	209
ecDNA	0.6299999952316284	0.8928571428571429	1.0	0.9433962264150945	25	3	0	209
ecDNA	0.6399999856948853	0.8928571428571429	1.0	0.9433962264150945	25	3	0	209
ecDNA	0.6499999761581421	1.0	1.0	1.0	25	0	0	212
ecDNA	0.6600000262260437	1.0	1.0	1.0	25	0	0	212
ecDNA	0.6700000166893005	1.0	1.0	1.0	25	0	0	212
ecDNA	0.6800000071525574	1.0	1.0	1.0	25	0	0	212
ecDNA	0.6899999976158142	1.0	1.0	1.0	25	0	0	212
ecDNA	0.699999988079071	1.0	1.0	1.0	25	0	0	212
ecDNA	0.7099999785423279	1.0	1.0	1.0	25	0	0	212
ecDNA	0.7200000286102295	1.0	1.0	1.0	25	0	0	212
ecDNA	0.7300000190734863	1.0	1.0	1.0	25	0	0	212
ecDNA	0.7400000095367432	1.0	1.0	1.0	25	0	0	212
ecDNA	0.75	1.0	1.0	1.0	25	0	0	212
ecDNA	0.7599999904632568	1.0	1.0	1.0	25	0	0	212
ecDNA	0.7699999809265137	1.0	1.0	1.0	25	0	0	212
ecDNA	0.7799999713897705	1.0	1.0	1.0	25	0	0	212
ecDNA	0.7900000214576721	1.0	1.0	1.0	25	0	0	212
ecDNA	0.800000011920929	1.0	1.0	1.0	25	0	0	212
ecDNA	0.8100000023841858	1.0	1.0	1.0	25	0	0	212
ecDNA	0.8199999928474426	1.0	1.0	1.0	25	0	0	212
ecDNA	0.8299999833106995	1.0	1.0	1.0	25	0	0	212
ecDNA	0.8399999737739563	1.0	0.96	0.9795918367346939	24	0	1	212
ecDNA	0.8500000238418579	1.0	0.92	0.9583333333333334	23	0	2	212
ecDNA	0.8600000143051147	1.0	0.84	0.9130434782608696	21	0	4	212
ecDNA	0.8700000047683716	1.0	0.76	0.8636363636363636	19	0	6	212
ecDNA	0.8799999952316284	1.0	0.68	0.8095238095238095	17	0	8	212
ecDNA	0.8899999856948853	1.0	0.68	0.8095238095238095	17	0	8	212
ecDNA	0.8999999761581421	1.0	0.68	0.8095238095238095	17	0	8	212
ecDNA	0.9100000262260437	1.0	0.64	0.7804878048780487	16	0	9	212
