epoch	loss	objectness_loss	type_loss	objectness_acc_at_0_5	type_subset_acc_labeled_at_0_5	n_train	n_labeled	n_background	is_best	split
1	1.5207428932189941	0.7356318235397339	0.7851110696792603	0.4642857015132904	0.025316456332802773	336	237	99	True	final
2	1.4521420001983643	0.6953692436218262	0.7567727565765381	0.488095223903656	0.03375527262687683	336	237	99	True	final
3	1.386066198348999	0.6464802026748657	0.7395859360694885	0.5654761791229248	0.050632912665605545	336	237	99	True	final
4	1.3170011043548584	0.5968403220176697	0.7201607823371887	0.6428571343421936	0.06329113990068436	336	237	99	True	final
5	1.261930227279663	0.5631731152534485	0.6987571120262146	0.6726190447807312	0.09282700717449188	336	237	99	True	final
6	1.2165400981903076	0.5348222851753235	0.6817178726196289	0.699404776096344	0.08438818901777267	336	237	99	True	final
7	1.1661568880081177	0.49826619029045105	0.6678906679153442	0.7083333134651184	0.08438818901777267	336	237	99	True	final
8	1.1296178102493286	0.47557762265205383	0.6540402173995972	0.699404776096344	0.08438818901777267	336	237	99	True	final
9	1.0903987884521484	0.44988399744033813	0.6405147314071655	0.7053571343421936	0.06329113990068436	336	237	99	True	final
10	1.0599719285964966	0.4287025034427643	0.6312693953514099	0.7053571343421936	0.05907173082232475	336	237	99	True	final
11	1.0364564657211304	0.41737863421440125	0.6190778017044067	0.7053571343421936	0.037974681705236435	336	237	99	True	final
12	1.0127534866333008	0.3999266028404236	0.612826943397522	0.7053571343421936	0.016877636313438416	336	237	99	True	final
13	0.9982413053512573	0.38807281851768494	0.61016845703125	0.7053571343421936	0.012658228166401386	336	237	99	True	final
14	0.9738001227378845	0.3782375454902649	0.5955625772476196	0.7053571343421936	0.016877636313438416	336	237	99	True	final
15	0.9608838558197021	0.3707188665866852	0.5901650190353394	0.7053571343421936	0.004219409078359604	336	237	99	True	final
16	0.953052818775177	0.3687194585800171	0.5843333601951599	0.7053571343421936	0.0	336	237	99	True	final
17	0.9444276690483093	0.35885024070739746	0.5855774283409119	0.7053571343421936	0.004219409078359604	336	237	99	True	final
18	0.9316900968551636	0.35163602232933044	0.5800541043281555	0.7053571343421936	0.0	336	237	99	True	final
19	0.9151507019996643	0.3426939845085144	0.5724567174911499	0.7053571343421936	0.0	336	237	99	True	final
20	0.9179092645645142	0.339060515165329	0.5788487792015076	0.7053571343421936	0.0	336	237	99	False	final
21	0.9188582897186279	0.34516146779060364	0.5736967921257019	0.7053571343421936	0.0	336	237	99	False	final
22	0.9211909770965576	0.3433155119419098	0.5778754949569702	0.7053571343421936	0.0	336	237	99	False	final
23	0.9130023717880249	0.34078171849250793	0.5722206234931946	0.7053571343421936	0.0	336	237	99	True	final
24	0.9099535942077637	0.3436218202114105	0.5663318037986755	0.7053571343421936	0.0	336	237	99	True	final
25	0.9123783707618713	0.33781737089157104	0.5745609998703003	0.7053571343421936	0.0	336	237	99	False	final
26	0.9099164605140686	0.33833175897598267	0.5715847015380859	0.7053571343421936	0.0	336	237	99	True	final
27	0.9060083031654358	0.3317498564720154	0.5742584466934204	0.7053571343421936	0.0	336	237	99	True	final
28	0.9044381976127625	0.3383159637451172	0.5661222338676453	0.7053571343421936	0.0	336	237	99	True	final
29	0.9090915322303772	0.33883196115493774	0.5702595710754395	0.7053571343421936	0.0	336	237	99	False	final
30	0.897872269153595	0.3299033045768738	0.5679689645767212	0.7053571343421936	0.0	336	237	99	True	final
31	0.8975018262863159	0.33493536710739136	0.5625664591789246	0.7053571343421936	0.0	336	237	99	True	final
32	0.895536482334137	0.3334026336669922	0.5621338486671448	0.7053571343421936	0.0	336	237	99	True	final
33	0.9052829146385193	0.3421534299850464	0.5631294846534729	0.7053571343421936	0.0	336	237	99	False	final
34	0.9058158993721008	0.34050214290618896	0.5653137564659119	0.7053571343421936	0.0	336	237	99	False	final
35	0.8997146487236023	0.34149467945098877	0.5582199692726135	0.7053571343421936	0.0	336	237	99	False	final
36	0.8913743495941162	0.3303211033344269	0.5610532760620117	0.7053571343421936	0.0	336	237	99	True	final
37	0.9018823504447937	0.3369891047477722	0.5648932456970215	0.7053571343421936	0.0	336	237	99	False	final
38	0.8961220979690552	0.33513426780700684	0.5609878301620483	0.7053571343421936	0.0	336	237	99	False	final
39	0.8904017210006714	0.33846381306648254	0.5519378781318665	0.7053571343421936	0.0	336	237	99	True	final
40	0.8891774415969849	0.3329416513442993	0.5562357902526855	0.7053571343421936	0.0	336	237	99	True	final
41	0.885120153427124	0.33240607380867004	0.5527141094207764	0.7053571343421936	0.0	336	237	99	True	final
42	0.8958767056465149	0.33970946073532104	0.5561672449111938	0.7053571343421936	0.0	336	237	99	False	final
43	0.8932017087936401	0.3395923674106598	0.553609311580658	0.7053571343421936	0.0	336	237	99	False	final
44	0.8746964931488037	0.3278285264968872	0.5468679666519165	0.7053571343421936	0.0	336	237	99	True	final
45	0.8781073093414307	0.3263073265552521	0.551800012588501	0.7053571343421936	0.0	336	237	99	False	final
46	0.8770792484283447	0.33226606249809265	0.5448131561279297	0.7053571343421936	0.0	336	237	99	False	final
47	0.8811966180801392	0.3336096704006195	0.547586977481842	0.7053571343421936	0.0	336	237	99	False	final
48	0.8755279779434204	0.33109337091445923	0.5444346070289612	0.7053571343421936	0.0	336	237	99	False	final
49	0.8632896542549133	0.3214000463485718	0.5418896079063416	0.7053571343421936	0.0	336	237	99	True	final
50	0.8653970956802368	0.323285311460495	0.5421117544174194	0.7053571343421936	0.0	336	237	99	False	final
51	0.8674691915512085	0.32536035776138306	0.5421088337898254	0.7053571343421936	0.0	336	237	99	False	final
52	0.8554835319519043	0.3149508833885193	0.540532648563385	0.7053571343421936	0.0	336	237	99	True	final
53	0.8554973602294922	0.3139594793319702	0.541537880897522	0.7053571343421936	0.0	336	237	99	False	final
54	0.8620407581329346	0.31412237882614136	0.5479183793067932	0.7053571343421936	0.0	336	237	99	False	final
55	0.8623706698417664	0.32704073190689087	0.5353299379348755	0.7053571343421936	0.0	336	237	99	False	final
56	0.8545756936073303	0.3180343508720398	0.5365413427352905	0.7053571343421936	0.0	336	237	99	True	final
57	0.8672345876693726	0.3274761140346527	0.5397584438323975	0.7053571343421936	0.0	336	237	99	False	final
58	0.8470906019210815	0.3181632161140442	0.5289273858070374	0.7053571343421936	0.0	336	237	99	True	final
59	0.8552281856536865	0.3223373591899872	0.532890796661377	0.7053571343421936	0.0	336	237	99	False	final
60	0.8425158858299255	0.3133684992790222	0.5291473865509033	0.7053571343421936	0.008438818156719208	336	237	99	True	final
61	0.8415716886520386	0.31834670901298523	0.523224949836731	0.7053571343421936	0.008438818156719208	336	237	99	True	final
62	0.836540937423706	0.30795928835868835	0.5285816788673401	0.7053571343421936	0.0	336	237	99	True	final
63	0.8391692042350769	0.31391870975494385	0.5252504944801331	0.7053571343421936	0.012658228166401386	336	237	99	False	final
64	0.837289571762085	0.31256160140037537	0.5247279405593872	0.7053571343421936	0.004219409078359604	336	237	99	False	final
65	0.8314440250396729	0.3120545744895935	0.5193894505500793	0.7053571343421936	0.004219409078359604	336	237	99	True	final
66	0.8343163132667542	0.3105968236923218	0.5237194895744324	0.7053571343421936	0.0	336	237	99	False	final
67	0.8284003734588623	0.31162694096565247	0.5167734622955322	0.7053571343421936	0.004219409078359604	336	237	99	True	final
68	0.8230475187301636	0.3029652535915375	0.5200822353363037	0.7053571343421936	0.008438818156719208	336	237	99	True	final
69	0.8206040859222412	0.30459046363830566	0.5160136222839355	0.7053571343421936	0.008438818156719208	336	237	99	True	final
70	0.8301953673362732	0.3119692802429199	0.5182260870933533	0.7053571343421936	0.004219409078359604	336	237	99	False	final
71	0.8238189220428467	0.3074861168861389	0.5163328051567078	0.7053571343421936	0.004219409078359604	336	237	99	False	final
72	0.820243775844574	0.3125162124633789	0.5077275633811951	0.7053571343421936	0.004219409078359604	336	237	99	True	final
73	0.8078607320785522	0.2996777296066284	0.5081830024719238	0.7053571343421936	0.004219409078359604	336	237	99	True	final
74	0.8047339916229248	0.2972552478313446	0.5074787139892578	0.7053571343421936	0.008438818156719208	336	237	99	True	final
75	0.8051265478134155	0.30382052063941956	0.5013059973716736	0.7053571343421936	0.012658228166401386	336	237	99	False	final
76	0.8092988729476929	0.3021634519100189	0.5071354508399963	0.7053571343421936	0.0	336	237	99	False	final
77	0.8067470788955688	0.3018203377723694	0.5049267411231995	0.7053571343421936	0.004219409078359604	336	237	99	False	final
78	0.788648784160614	0.2891068458557129	0.4995419383049011	0.7053571343421936	0.008438818156719208	336	237	99	True	final
79	0.7870861291885376	0.29330745339393616	0.49377867579460144	0.7053571343421936	0.004219409078359604	336	237	99	True	final
80	0.7817465662956238	0.2932620048522949	0.48848456144332886	0.7053571343421936	0.012658228166401386	336	237	99	True	final
81	0.784305214881897	0.29280081391334534	0.49150440096855164	0.7053571343421936	0.004219409078359604	336	237	99	False	final
82	0.7876373529434204	0.29557928442955017	0.4920580983161926	0.7053571343421936	0.0	336	237	99	False	final
83	0.782181978225708	0.2960145175457001	0.48616746068000793	0.7053571343421936	0.004219409078359604	336	237	99	False	final
84	0.7692371606826782	0.28320446610450745	0.4860326647758484	0.7053571343421936	0.004219409078359604	336	237	99	True	final
85	0.7757886052131653	0.2911764085292816	0.48461219668388367	0.7053571343421936	0.004219409078359604	336	237	99	False	final
86	0.7743082642555237	0.2873117923736572	0.48699647188186646	0.7053571343421936	0.008438818156719208	336	237	99	False	final
87	0.7637122869491577	0.28247085213661194	0.48124146461486816	0.7053571343421936	0.008438818156719208	336	237	99	True	final
88	0.7620881795883179	0.27918216586112976	0.4829059839248657	0.7053571343421936	0.02109704725444317	336	237	99	True	final
89	0.7537062168121338	0.2741451561450958	0.4795610308647156	0.7053571343421936	0.02109704725444317	336	237	99	True	final
90	0.7630151510238647	0.2830909192562103	0.47992420196533203	0.7053571343421936	0.016877636313438416	336	237	99	False	final
91	0.7492218017578125	0.2740774154663086	0.4751443862915039	0.7053571343421936	0.004219409078359604	336	237	99	True	final
92	0.751072883605957	0.2774706780910492	0.47360220551490784	0.7053571343421936	0.012658228166401386	336	237	99	False	final
93	0.7478723526000977	0.2736723721027374	0.47419995069503784	0.7053571343421936	0.016877636313438416	336	237	99	True	final
94	0.7299549579620361	0.2642049789428711	0.46574994921684265	0.7053571343421936	0.012658228166401386	336	237	99	True	final
95	0.7469848394393921	0.27755245566368103	0.46943238377571106	0.7053571343421936	0.02109704725444317	336	237	99	False	final
96	0.7373926043510437	0.2743081748485565	0.4630844295024872	0.7053571343421936	0.016877636313438416	336	237	99	False	final
97	0.7351471185684204	0.26858609914779663	0.4665610194206238	0.7053571343421936	0.02109704725444317	336	237	99	False	final
98	0.7266210317611694	0.266154408454895	0.4604666531085968	0.7053571343421936	0.008438818156719208	336	237	99	True	final
99	0.732707142829895	0.2724563181400299	0.4602508544921875	0.7053571343421936	0.025316456332802773	336	237	99	False	final
100	0.7231015563011169	0.25961825251579285	0.4634833037853241	0.7053571343421936	0.04641350358724594	336	237	99	True	final
101	0.717451274394989	0.26256439089775085	0.45488688349723816	0.7053571343421936	0.008438818156719208	336	237	99	True	final
102	0.7253557443618774	0.26106971502304077	0.46428605914115906	0.7053571343421936	0.029535865411162376	336	237	99	False	final
103	0.7286738157272339	0.26533541083335876	0.46333837509155273	0.7083333134651184	0.025316456332802773	336	237	99	False	final
104	0.7092424631118774	0.2542457580566406	0.45499667525291443	0.7053571343421936	0.012658228166401386	336	237	99	True	final
105	0.7200545072555542	0.2564425766468048	0.4636119604110718	0.7053571343421936	0.012658228166401386	336	237	99	False	final
106	0.7084106206893921	0.245305135846138	0.4631054699420929	0.7053571343421936	0.037974681705236435	336	237	99	True	final
107	0.692899763584137	0.24147537350654602	0.45142439007759094	0.7172619104385376	0.029535865411162376	336	237	99	True	final
108	0.7001145482063293	0.24806705117225647	0.4520474970340729	0.7053571343421936	0.025316456332802773	336	237	99	False	final
109	0.7080978155136108	0.2540072500705719	0.45409056544303894	0.7053571343421936	0.029535865411162376	336	237	99	False	final
110	0.7082747220993042	0.2538816034793854	0.45439308881759644	0.7053571343421936	0.03375527262687683	336	237	99	False	final
111	0.6903714537620544	0.23964162170886993	0.4507298171520233	0.7053571343421936	0.037974681705236435	336	237	99	True	final
