class_name	type_threshold	secondary_threshold
ecDNA	0.6399999856948853	0.8399999886751175
Seismic_Amplification	0.20999999344348907	0.4099999964237213
chromothripsis	0.23000000417232513	0.4300000071525574
BFB	0.11999999731779099	0.3200000002980232
