epoch	train_loss	train_positive	train_negative	train_bag	train_quality	validation_loss	validation_positive	validation_negative	validation_bag	validation_quality
1	2.029582977294922	0.6749649047851562	0.867437481880188	0.6061913371086121	0.09296312183141708	1.8334574699401855	0.5968810319900513	0.7720170021057129	0.5765591263771057	0.09182856231927872
2	1.8751187324523926	0.5636023283004761	0.8882884979248047	0.5305066704750061	0.07242278754711151	1.7719990015029907	0.555185079574585	0.7884131073951721	0.5325839519500732	0.08275150507688522
3	1.78432035446167	0.5111300945281982	0.9066492915153503	0.45916107296943665	0.06334304809570312	1.735171914100647	0.5312133431434631	0.7982228398323059	0.5047380328178406	0.07766345143318176
4	1.7492780685424805	0.47986552119255066	0.9266564846038818	0.43037256598472595	0.057075999677181244	1.7102856636047363	0.5169647932052612	0.8020764589309692	0.4868055582046509	0.07468637824058533
5	1.717294454574585	0.46440452337265015	0.9277910590171814	0.40763598680496216	0.055348027497529984	1.6909769773483276	0.5067688822746277	0.8039982318878174	0.47306182980537415	0.07260970771312714
6	1.6796600818634033	0.44823920726776123	0.9273027181625366	0.3807443678379059	0.05302836745977402	1.6751301288604736	0.4985933005809784	0.8048574328422546	0.4624377489089966	0.0710030272603035
7	1.648855447769165	0.4259110987186432	0.9321957230567932	0.3641878366470337	0.050307825207710266	1.659809947013855	0.4909970462322235	0.8044869899749756	0.4533049166202545	0.06956325471401215
8	1.6350605487823486	0.41854315996170044	0.9343852400779724	0.35336557030677795	0.04887974262237549	1.6452536582946777	0.4848080575466156	0.8020917177200317	0.4458552896976471	0.06846380233764648
9	1.6063613891601562	0.40485385060310364	0.9305015802383423	0.33965498208999634	0.04647064208984375	1.6309261322021484	0.478729784488678	0.7994394302368164	0.43888306617736816	0.06741317361593246
10	1.5842839479446411	0.3965049088001251	0.9310263395309448	0.3217114210128784	0.04419767111539841	1.6182984113693237	0.4740091562271118	0.7956492900848389	0.43376073241233826	0.06662660092115402
11	1.5679022073745728	0.38754409551620483	0.9275757074356079	0.3171141743659973	0.04270532354712486	1.6067001819610596	0.4699079692363739	0.791558027267456	0.42953038215637207	0.06596105545759201
12	1.5167815685272217	0.3682926297187805	0.9198096990585327	0.28588443994522095	0.040759552270174026	1.5972429513931274	0.4674091339111328	0.7865613102912903	0.4270847737789154	0.06559720635414124
13	1.5253669023513794	0.37314915657043457	0.9194163680076599	0.29135799407958984	0.04080795496702194	1.5891733169555664	0.46589404344558716	0.7809280157089233	0.4259510040283203	0.06539423018693924
