epoch	training_loss
1	0.6686133742332458
2	0.6313825845718384
3	0.6109137535095215
4	0.5864423513412476
5	0.5665764808654785
6	0.5610179901123047
7	0.5456928014755249
8	0.5354940295219421
9	0.526321291923523
10	0.515898585319519
11	0.5050674676895142
12	0.49923768639564514
13	0.48937666416168213
14	0.4664425551891327
15	0.4671299159526825
16	0.4598016142845154
17	0.441264271736145
18	0.4373798966407776
19	0.4252493679523468
20	0.41781550645828247
21	0.40400558710098267
22	0.4067977964878082
23	0.38420355319976807
24	0.37939924001693726
25	0.3629961609840393
26	0.361187607049942
27	0.3493459224700928
28	0.3422902822494507
29	0.33576157689094543
30	0.3190546929836273
31	0.30887243151664734
32	0.30161020159721375
33	0.2949874997138977
34	0.2814924418926239
35	0.2809780538082123
36	0.26983729004859924
37	0.2558906674385071
38	0.24455633759498596
